"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모",
"26","외국인관광도시민박업","03_11_04_P","3160000","CDFI2262212024000007","2024-07-17","","01","영업/정상","13","영업중","","","","","","","","서울특별시 구로구 오류동 144-43 202호","서울특별시 구로구 오류로8바길 9, 202호 (오류동)","08340","클로버 스테이 (Clover stay)","2025-12-31 16:01:36","U","2026-01-03 02:40:00","","186371.785683444","443458.279778936","외국인관광 도시민박업","","일반주거지역","3","","","","","0","0","2","0","","","0","0","","0","0","","0","47.48","","0","","","","","","","30000000","","","","47",
"27","외국인관광도시민박업","03_11_04_P","3150000","CDFI2262212024000032","2024-08-19","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강서구 등촌동 654-21 정담가","서울특별시 강서구 공항대로51길 17-11, 정담가 501호 (등촌동)","07571","정담가","2025-12-31 14:45:23","U","2026-01-03 02:40:00","","187302.762175479","450356.845554083","외국인관광 도시민박업","","","0","","","","다가구용 주택(공동주택적용)","0","0","0","0","","","0","0","","0","0","","0","63.53","","0","","","","","","","0","","","","64",
"28","외국인관광도시민박업","03_11_04_P","3010000","CDFI2262212025000052","2025-10-20","","01","영업/정상","13","영업중","","","","","","","","서울특별시 중구 예장동 8-83 201호","서울특별시 중구 퇴계로20나길 31-7, 201호 (예장동)","04630","서울타워빌","2025-12-31 10:53:21","U","2026-01-03 02:40:00","","198666.675073204","450609.039950143","외국인관광 도시민박업","","","5","","","","다가구용 주택(공동주택적용)","4","1","1","0","Seoul Tower Ville","City home-stay services for foreign tourists","0","0","","0","0","","0","59.07","","0","","","","","","","0","","","","59",
"29","외국인관광도시민박업","03_11_04_P","3230000","CDFI2262212025000077","2025-10-29","","01","영업/정상","13","영업중","","","","","","","","서울특별시 송파구 삼전동 69-1","서울특별시 송파구 백제고분로28길 35-35, 201호 (삼전동)","05597","소예","2025-12-31 18:25:57","U","2026-01-03 02:40:00","","208120.498959611","444104.810412585","외국인관광 도시민박업","","일반주거지역","0","주택가주변","","","다세대주택","0","0","1","0","","","0","0","","0","0","","0","60.61","","0","","","","","","","0","","","","61",
"30","외국인관광도시민박업","03_11_04_P","3230000","CDFI2262212025000080","2025-11-11","","01","영업/정상","13","영업중","","","","","","","","서울특별시 송파구 방이동 102-25 파크하우스","서울특별시 송파구 올림픽로32길 49-27, 101호 (방이동, 파크하우스)","05546","웰럭팜","2025-12-31 18:25:01","U","2026-01-03 02:40:00","","209854.42875095","445724.075624267","외국인관광 도시민박업","","일반주거지역","0","주택가주변","","","다세대주택","0","0","1","0","","","0","0","","0","0","","0","49.82","","0","","","","","","","0","","","","50",
"31","외국인관광도시민박업","03_11_04_P","3230000","CDFI2262212025000081","2025-11-11","","01","영업/정상","13","영업중","","","","","","","","서울특별시 송파구 송파동 9-16","서울특별시 송파구 백제고분로41길 35-20, 201호 (송파동)","05624","Kim's Family","2025-12-31 18:24:50","U","2026-01-03 02:40:00","","209243.900332359","445126.69488362","외국인관광 도시민박업","","일반주거지역","0","주택가주변","","","다세대주택","0","0","1","0","","","0","0","","0","0","","0","48.33","","0","","","","","","","0","","","","48",
"32","외국인관광도시민박업","03_11_04_P","3230000","CDFI2262212025000083","2025-11-18","","01","영업/정상","13","영업중","","","","","","","","서울특별시 송파구 방이동 113-8","서울특별시 송파구 백제고분로48길 12-19, 102호 (방이동)","05641","Jamsil Cozy Mood","2025-12-31 18:24:26","U","2026-01-03 02:40:00","","210034.058338678","445372.00063901","외국인관광 도시민박업","","일반주거지역","0","주택가주변","","","다가구용 주택(공동주택적용)","0","0","1","0","","","0","0","","0","0","","0","35","","0","","","","","","","0","","","","35",
"33","외국인관광도시민박업","03_11_04_P","3230000","CDFI2262212025000091","2025-11-28","","01","영업/정상","13","영업중","","","","","","","","서울특별시 송파구 거여동 665-5 리안에스피","서울특별시 송파구 거마로9길 4, 리안에스피 301호 (거여동)","05735","마로스테이","2025-12-31 18:22:31","U","2026-01-03 02:40:00","","212783.871351991","443781.159511089","외국인관광 도시민박업","","일반주거지역","0","주택가주변","","","단독주택","0","0","1","0","","","0","0","","0","0","","0","46.2","","0","","","","","","","0","","","","46",
"34","외국인관광도시민박업","03_11_04_P","3230000","CDFI2262212025000092","2025-11-28","","01","영업/정상","13","영업중","","","","","","","","서울특별시 송파구 거여동 665-5 리안에스피","서울특별시 송파구 거마로9길 4, 리안에스피 402호 (거여동)","05735","머물다 송파","2025-12-31 18:22:12","U","2026-01-03 02:40:00","","212783.871351991","443781.159511089","외국인관광 도시민박업","","일반주거지역","0","주택가주변","","","단독주택","0","0","1","0","","","0","0","","0","0","","0","46.2","","0","","","","","","","0","","","","46",
"35","외국인관광도시민박업","03_11_04_P","3230000","CDFI2262212025000095","2025-12-03","","01","영업/정상","13","영업중","","","","","","","","서울특별시 송파구 석촌동 266-12","서울특별시 송파구 가락로15길 13, B03호 (석촌동)","05689","소담스테이","2025-12-31 18:21:30","U","2026-01-03 02:40:00","","209305.641996145","444419.235190003","외국인관광 도시민박업","","일반주거지역","0","주택가주변","","","다가구용 주택(공동주택적용)","0","0","1","0","","","0","0","","0","0","","0","43","","0","","","","","","","0","","","","43",
"36","외국인관광도시민박업","03_11_04_P","3230000","CDFI2262212025000096","2025-12-03","","01","영업/정상","13","영업중","","","","","","","","서울특별시 송파구 석촌동 283-1","서울특별시 송파구 송파대로43길 23, 203호 (석촌동)","05689","지누의 집","2025-12-31 18:21:17","U","2026-01-03 02:40:00","","209262.902804133","444576.104291031","외국인관광 도시민박업","","일반주거지역","0","주택가주변","","","다세대주택","0","0","1","0","","","0","0","","0","0","","0","35.36","","0","","","","","","","0","","","","35",
"37","외국인관광도시민박업","03_11_04_P","3010000","CDFI2262212025000058","2025-12-05","","01","영업/정상","13","영업중","","","","","","","","서울특별시 중구 신당동 49-20 302호","서울특별시 중구 다산로42나길 45-6, 302호 (신당동)","04585","체크인서울","2025-12-31 10:56:08","U","2026-01-03 02:40:00","","201505.922007583","451112.633359789","외국인관광 도시민박업","","","0","","","","다가구용 주택(공동주택적용)","0","0","1","0","Check in Seoul","City home-stay services for foreign tourists","0","0","","0","0","","0","52.8","","0","","","","","","","0","","","","53",
"38","외국인관광도시민박업","03_11_04_P","3230000","CDFI2262212025000082","2025-11-17","","01","영업/정상","13","영업중","","","","","","","","서울특별시 송파구 방이동 99-2","서울특별시 송파구 위례성대로2길 40-1, B02호 (방이동)","05547","하루재 잠실","2025-12-31 18:24:39","U","2026-01-03 02:40:00","","209805.498602347","445727.225908815","외국인관광 도시민박업","","일반주거지역","0","주택가주변","","","다가구용 주택(공동주택적용)","0","0","1","0","","","0","0","","0","0","","0","39","","0","","","","","","","0","","","","39",
