"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","승려수","신도수","창립연대","유래연혁","지정취소","지정취소일자","지정취소사유","전통사찰명",
"1","전통사찰","03_07_11_P","3090000","CDFD1004","1988-09-07","","01","영업/정상","07","승인","","","","","954-9944","","","서울특별시 도봉구 도봉동 546","","","원통사","2026-02-11 10:37:56","U","2026-02-13 02:40:00","","200872.925510438","464508.687342073","2","500","","신라 시대인 863년(경문왕 3)에 도선 국사가 도봉산에 절을 창건하여 원통사라 하였으며, 1053년(문종 7) 승려 관월 운개(觀月雲開)가 중창하였고, 1392년(태조 1)에 승려 천은 득일(天隱得一)이 삼창하였다. 그 후 조선 영조 때 승려 유인(宥？)이 중수하고 절 이름을 보은사(報恩寺)라 바꾸었다. 또 1810년(순조 10)에 승려 청화(淸和), 1887년(고종 24)에 승려 응허 한규(應虛漢奎)가 중창하였다.

1928년 비구니 자현(慈賢)이 주지로 부임하여 퇴락한 절의 중건을 발원하고 설악산의 승려 춘성(春城)을 청하여 천일 관음 기도를 올려 1929년에 불전을 중건하였다. 승려 보경 보현(寶鏡普賢)을 데려와 아미타불과 지장보살상을 조성하여 봉안하였다. 1931년에 천일기도가 끝나자 그해 겨울에 지리산의 승려 보응과 함께 다시 만일 염불회를 시작하여 1933년에 칠성각을 세우고 1936년에 법당 일부와 큰방을 중수하였으며, 이때에 절 이름을 잠시 보문사(普門寺)로 바꾸기도 하였다. 이후 1938년에 독성각이 세워졌다.","N","","","원통사",
"2","전통사찰","03_07_11_P","6260000","6260000-021","1988-07-19","","01","영업/정상","BBBB","","","","","","0518037573","","","부산직할시 부산진구 부암3동","","","선암사","2026-01-30 16:36:45","U","2026-02-04 11:04:37","","","","8","1500","674","신라 문무왕 15년 원효대사가 창건하여 견강사라 하였다가 768년에 선암사라 부르게 되었다. 


1581년 4차에 걸쳐 중수하였고 1868년 동운, 신겸 두 스님이 중건하였음.","A","","","선암사",
