번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),문화체육업종명,공사립구분명,보험가입여부코드,지도자수,건축물동수,건축물연면적,회원모집총인원,세부업종명,법인명,Unnamed: 37,record_key
36,당구장업,10_32_01_P,3530000,CDFH3301082017000009,2017-09-12,,1,영업/정상,13,영업중,,,,,,,,인천광역시 남동구 간석동 580-1,"인천광역시 남동구 석정로 578, 5층 (간석동, 두성빌딩)",21504,덕사부 당구아카데미,2026-01-30 11:32:45,U,2026-02-04 11:04:37,,173347.338342141,440589.266370991,당구장업,사립,,0.0,1.0,1834.19,0.0,,,,덕사부당구아카데미_인천광역시남동구간석동580-1
180,당구장업,10_32_01_P,3100000,CDFH3301082017000004,2017-08-11,,1,영업/정상,13,영업중,,,,,,,,서울특별시 노원구 중계동 359-15 조은빌딩,"서울특별시 노원구 중계로 220, 조은빌딩 B1층 1,2,3,4호 (중계동)",01714,캐롬당구클럽,2026-02-19 17:15:49,U,2026-02-21 02:40:00,,206609.728286437,460947.286863523,당구장업,사립,,0.0,0.0,0.0,0.0,,,,캐롬당구클럽_서울특별시노원구중계동359-15조은빌딩
84,당구장업,10_32_01_P,3390000,CDFH3301082017000005,2017-08-04,,3,폐업,3,폐업,2026-02-04,,,,,,,부산광역시 사상구 주례동 1241-14,"부산광역시 사상구 백양대로 370, 6층 (주례동)",46997,메가톤 빌리아드,2026-02-05 09:14:30,U,2026-02-07 02:40:00,,383210.628296235,185615.449055573,당구장업,사립,,0.0,0.0,2533.89,0.0,,,,메가톤빌리아드_부산광역시사상구주례동1241-14
125,당구장업,10_32_01_P,3310000,CDFH3301082017000005,2017-07-28,,1,영업/정상,13,영업중,,,,,051-628-3648,,,부산광역시 남구 대연동 1743-8,"부산광역시 남구 수영로219번길 15, 2층 (대연동, 흥진빌딩)",48445,SK 당구장,2026-02-10 14:11:01,U,2026-02-12 02:40:00,,390450.470305987,183844.330406648,당구장업,사립,,0.0,0.0,1408.3,0.0,,,,SK당구장_부산광역시남구대연동1743-8
160,당구장업,10_32_01_P,3080000,CDFH3301082017000007,2017-07-27,,1,영업/정상,13,영업중,,,,,,,,서울특별시 강북구 번동 432-6,서울특별시 강북구 오현로31길 174 (번동),01137,킴스,2026-02-13 16:48:30,U,2026-02-15 02:40:00,,202915.790477616,459154.762600155,당구장업,사립,,0.0,0.0,0.0,0.0,,,,킴스_서울특별시강북구번동432-6
214,당구장업,10_32_01_P,3780000,CDFH3301082017000013,2017-07-20,,1,영업/정상,13,영업중,,,,,,,,경기도 성남시 중원구 은행동 1560-1 프린스빌딩,"경기도 성남시 중원구 산성대로 520, 5층 (은행동)",13157,다빈치 당구장,2026-02-25 09:27:53,U,2026-02-27 02:40:00,,214456.554929867,439459.990619913,당구장업,사립,,0.0,0.0,0.0,0.0,,,,다빈치당구장_경기도성남시중원구은행동1560-1프린스빌딩
18,당구장업,10_32_01_P,5070000,CDFH3301082017000002,2017-04-20,,3,폐업,3,폐업,2026-02-02,,,,,,,경상북도 안동시 옥동 773-9 4층,"경상북도 안동시 복주2길 80, 4층 (옥동)",36661,J.B당구클럽,2026-02-02 16:04:24,U,2026-02-04 02:40:00,,352227.316639785,341641.155317158,당구장업,사립,,0.0,0.0,0.0,0.0,,,,J.B당구클럽_경상북도안동시옥동773-94층
55,당구장업,10_32_01_P,3720000,CDFH3301082017000006,2017-04-18,,1,영업/정상,13,영업중,,,,,281-6464,,,,울산광역시 북구 명촌로 55 (명촌동),44254,Alphabill Billiards.Club,2026-02-03 09:53:38,U,2026-02-06 02:40:00,,413691.912824805,230938.534175274,당구장업,사립,,0.0,0.0,0.0,0.0,,,,AlphabillBilliards.Club_
183,당구장업,10_32_01_P,4540000,CDFH3301082017000001,2017-03-15,,1,영업/정상,13,영업중,,,,,,,,충청남도 논산시 내동 1207,"충청남도 논산시 대학로 87, 3층 (내동)",32991,제이투가브리엘캐롬,2026-02-20 13:16:44,U,2026-02-22 02:40:00,,209596.518201871,297661.932678823,당구장업,사립,,0.0,0.0,954.6,0.0,,,,제이투가브리엘캐롬_충청남도논산시내동1207
167,당구장업,10_32_01_P,4870000,CDFH3301082017000001,2017-01-13,,3,폐업,3,폐업,2026-02-19,,,,,,,,"전라남도 구례군 산동면 관산구산길 1, 2층 202호",57604,우리당구장,2026-02-19 15:52:22,U,2026-02-21 02:40:00,,241809.121522242,202268.156833094,당구장업,사립,,0.0,202.0,1666.04,0.0,,,,우리당구장_
172,당구장업,10_32_01_P,3540000,CDFH3301082016000021,2016-12-14,,1,영업/정상,13,영업중,,,,,032-522-8899,,,인천광역시 부평구 부평동 201-9,"인천광역시 부평구 부평문화로80번길 16, 3층 (부평동, 스타빠루뚜)",21394,아레나 포켓 클럽,2026-02-19 10:23:25,U,2026-02-21 02:40:00,,175572.503582905,443527.960522361,당구장업,사립,,0.0,0.0,0.0,0.0,,,,아레나포켓클럽_인천광역시부평구부평동201-9
109,당구장업,10_32_01_P,4470000,CDFH3301082016000012,2016-11-28,,1,영업/정상,13,영업중,,,,,,,,충청북도 음성군 맹동면 두성리 1385,"충청북도 음성군 맹동면 대하2가길 3, 미르타워 5층 501호",27738,더테라스당구클럽,2026-02-09 17:56:35,U,2026-02-11 02:40:00,,248216.598022199,378571.75094294,당구장업,사립,,0.0,1.0,3631.75,0.0,,,,더테라스당구클럽_충청북도음성군맹동면두성리1385
48,당구장업,10_32_01_P,4060000,CDFH3301082016000010,2016-09-08,,3,폐업,3,폐업,2026-01-30,,,,,,,"경기도 파주시 목동동 933-3 명품프라자 502, 503호","경기도 파주시 청암로17번길 27 (목동동, 명품프라자 502,503호)",10892,명품당구장,2026-01-30 15:14:24,U,2026-02-04 11:04:37,,176615.747801307,469628.696014095,당구장업,사립,,0.0,0.0,3228.77,0.0,,,,"명품당구장_경기도파주시목동동933-3명품프라자502,503호"
208,당구장업,10_32_01_P,3860000,CDFH3301082016000020,2016-09-07,,1,영업/정상,13,영업중,,,,,,,,경기도 부천시 소사구 송내동 299-8,"경기도 부천시 소사구 송내대로42번길 20, 2층 (송내동)",14720,진빌당구클럽,2026-02-24 13:44:04,U,2026-02-26 02:40:00,,178204.398184104,442787.777468307,당구장업,사립,,0.0,0.0,0.0,0.0,,,,진빌당구클럽_경기도부천시소사구송내동299-8
171,당구장업,10_32_01_P,3510500,CDFH3301082016000010,2016-09-06,,1,영업/정상,13,영업중,,,,,032-428-3949,,,,"인천광역시 미추홀구 미추홀대로734번길 6 (주안동, 파라다이스 랜드)",22135,W  당구클럽,2026-02-19 10:07:02,U,2026-02-21 02:40:00,,171689.085799034,440122.403612245,당구장업,사립,,0.0,0.0,0.0,0.0,,,,W당구클럽_
31,당구장업,10_32_01_P,5680000,CDFH3301082016000006,2016-07-08,,1,영업/정상,13,영업중,,,,,356-9950,,,충청남도 당진시 송산면 유곡리 230,"충청남도 당진시 송산면 송산로 785, 3층",31711,S.B.S 당구장,2026-01-30 10:57:11,U,2026-02-04 11:04:37,,172684.429427446,384044.975058337,당구장업,사립,,0.0,1.0,1790.03,0.0,,,,S.B.S당구장_충청남도당진시송산면유곡리230
22,당구장업,10_32_01_P,3930000,CDFH3301082016000012,2016-06-17,,1,영업/정상,13,영업중,,,,,,,,경기도 안산시 상록구 사동 1298 3층,"경기도 안산시 상록구 석호로 158, 3층 (사동)",15589,킹당구클럽,2026-02-02 14:00:30,U,2026-02-04 02:40:00,,186599.601678915,421762.392947133,당구장업,사립,,,,660.6,,,,,킹당구클럽_경기도안산시상록구사동12983층
207,당구장업,10_32_01_P,3860000,CDFH3301082016000014,2016-06-10,,1,영업/정상,13,영업중,,,,,,,,경기도 부천시 소사구 괴안동 113-6,"경기도 부천시 소사구 경인로 509, 501호 (괴안동, 우남타워)",14676,SM당구장,2026-02-24 10:56:58,U,2026-02-26 02:40:00,,183273.67,442505.48,당구장업,사립,,0.0,0.0,0.0,0.0,,,,SM당구장_경기도부천시소사구괴안동113-6
118,당구장업,10_32_01_P,5090000,CDFH3301082016000002,2016-05-30,,1,영업/정상,13,영업중,,,,,054-637-0036,,,,"경상북도 영주시 풍기읍 동성로 80, 2층 (풍기치과)",36037,매니아당구클럽,2026-02-10 15:41:02,U,2026-02-12 02:40:00,,336137.624839963,375483.222706687,당구장업,사립,,0.0,0.0,0.0,0.0,,,,매니아당구클럽_
39,당구장업,10_32_01_P,3900000,CDFH3301082016000004,2016-05-26,,1,영업/정상,13,영업중,,,,,,,,경기도 광명시 광명동 158-855,경기도 광명시 오리로 1003-1 (광명동),14285,코리아 당구장,2026-01-30 15:19:15,U,2026-02-04 11:04:37,,186814.705754143,441988.268395533,당구장업,사립,,0.0,0.0,1757.62,0.0,,,,코리아당구장_경기도광명시광명동158-855
215,당구장업,10_32_01_P,6510000,CDFH3301082016000006,2016-05-26,,1,영업/정상,13,영업중,,,,,,,,,"제주특별자치도 제주시 고마로 133, 4층 (일도이동, 주택은행일도지점)",63258,그린당구클럽,2026-02-25 17:40:21,U,2026-02-27 02:40:00,,157440.899311107,798.264117247712,당구장업,사립,,0.0,0.0,1594.27,0.0,,,,그린당구클럽_
136,당구장업,10_32_01_P,3990000,CDFH3301082016000011,2016-05-04,,3,폐업,3,폐업,2025-07-25,,,,,,,경기도 남양주시 호평동 641-1,"경기도 남양주시 늘을2로14번길 5, 4층 408,409호 (호평동, 샤르망메디칼프라자)",12150,짱 당구장,2026-02-11 10:46:14,U,2026-02-13 02:40:00,,221512.003352775,461332.015198367,당구장업,사립,,0.0,0.0,0.0,0.0,,,,짱당구장_경기도남양주시호평동641-1
140,당구장업,10_32_01_P,4671000,CDFH3301082016000002,2016-03-23,,1,영업/정상,13,영업중,,,,,,,,전북특별자치도 군산시 조촌동 752-6,"전북특별자치도 군산시 검다메2길 3, 2층 (조촌동)",54079,빅박스 당구클럽,2026-02-11 14:24:47,U,2026-02-13 02:40:00,,176310.683673203,274347.657473758,당구장업,사립,,0.0,1.0,1147.8,0.0,,,,빅박스당구클럽_전북특별자치도군산시조촌동752-6
21,당구장업,10_32_01_P,3930000,CDFH3301082016000003,2016-02-18,,1,영업/정상,13,영업중,,,,,,,,경기도 안산시 단원구 와동 735 3층,"경기도 안산시 단원구 와동1로 7, 3층 (와동)",15268,구슬 당구클럽,2026-02-02 15:39:12,U,2026-02-04 02:40:00,,184242.67400156,425772.323413059,당구장업,사립,,0.0,0.0,0.0,0.0,,,,구슬당구클럽_경기도안산시단원구와동7353층
177,당구장업,10_32_01_P,3300000,CDFH3301082015000007,2015-12-22,,1,영업/정상,13,영업중,,,,,,,,부산광역시 동래구 안락동 430-61,"부산광역시 동래구 충렬대로359번길 38, 6층 (안락동)",47787,알찬당구클럽,2026-02-19 09:17:03,U,2026-02-21 02:40:00,,391090.826595998,190924.109928902,당구장업,사립,,0.0,1.0,1698.38,0.0,,,,알찬당구클럽_부산광역시동래구안락동430-61
73,당구장업,10_32_01_P,3150000,CDFH3301082015000015,2015-12-21,,1,영업/정상,13,영업중,,,,,2603-3949,,,서울특별시 강서구 화곡동 1115-7 3층,"서울특별시 강서구 공항대로46길 61, 3층 (화곡동)",07654,T.B.C.,2026-02-04 09:21:03,U,2026-02-06 02:40:00,,186843.814711813,450128.530065558,당구장업,사립,,0.0,0.0,1462.19,0.0,,,,T.B.C._서울특별시강서구화곡동1115-73층
229,당구장업,10_32_01_P,3530000,CDFH3301082015000020,2015-11-26,,1,영업/정상,13,영업중,,,,,,,,,"인천광역시 남동구 장승남로 64, 2층 (만수동, 동성그린타운)",21597,만프로 당구장,2026-02-26 11:01:58,U,2026-02-28 02:40:00,,176859.165,437927.0,당구장업,사립,,0.0,0.0,0.0,0.0,,,,만프로당구장_
206,당구장업,10_32_01_P,3860000,CDFH3301082015000022,2015-10-21,,1,영업/정상,13,영업중,,,,,070-7370-7259,,,경기도 부천시 소사구 심곡본동 672-4,"경기도 부천시 소사구 경인로234번길 7, 301호 (심곡본동)",14711,로얄당구클럽,2026-02-24 11:29:12,U,2026-02-26 02:40:00,,180623.063422768,442312.152878829,당구장업,사립,,0.0,0.0,0.0,0.0,,,,로얄당구클럽_경기도부천시소사구심곡본동672-4
176,당구장업,10_32_01_P,3650000,CDFH3301082015000008,2015-09-23,,1,영업/정상,13,영업중,,,,,,,,대전광역시 중구 석교동 68-16,대전광역시 중구 대종로 210 (석교동),35036,킹콩당구장,2026-02-19 17:41:08,U,2026-02-21 02:40:00,,239815.052481458,312103.206245479,당구장업,사립,,0.0,0.0,0.0,0.0,,,,킹콩당구장_대전광역시중구석교동68-16
146,당구장업,10_32_01_P,3630000,CDFH3301082015000014,2015-09-09,,1,영업/정상,13,영업중,,,,,,,,광주광역시 광산구 선암동 769,"광주광역시 광산구 선운로 3, 3층 (선암동)",62400,선운당구클럽,2026-02-12 17:53:40,U,2026-02-14 02:40:00,,178953.305501251,183278.323429385,당구장업,사립,,0.0,0.0,0.0,0.0,,,,선운당구클럽_광주광역시광산구선암동769
121,당구장업,10_32_01_P,3070000,CDFH3301082015000005,2015-06-16,,3,폐업,3,폐업,2026-02-10,,,,,,136-850,서울특별시 성북구 정릉동 684-1,"서울특별시 성북구 솔샘로6길 16-16, 2층 (정릉동)",02709,반고,2026-02-10 15:03:35,U,2026-02-12 02:40:00,,200442.592150405,456265.278748184,당구장업,사립,,0.0,0.0,0.0,0.0,,,,반고_서울특별시성북구정릉동684-1
155,당구장업,10_32_01_P,3940000,CDFH3301082015000002,2015-02-25,,1,영업/정상,13,영업중,,,,,,,410-821,경기도 고양시 일산동구 식사동 1588 동국타워 403~4호,"경기도 고양시 일산동구 위시티로 18, 4층 403~404호 (식사동, 동국타워)",10324,킹 당구장,2026-02-13 09:37:19,U,2026-02-15 02:40:00,,182952.408473266,463589.642342925,당구장업,사립,,,,6149.6,,,,,킹당구장_경기도고양시일산동구식사동1588동국타워403~4호
184,당구장업,10_32_01_P,4010000,CDFH3301082015000004,2015-02-10,,1,영업/정상,13,영업중,,,,,,,429-874,경기도 시흥시 대야동 538 신생프라자 301호,"경기도 시흥시 비둘기공원6길 16 (대야동, (신생프라자 301호))",14912,세븐당구클럽,2026-02-20 15:41:34,U,2026-02-22 02:40:00,,181427.248146884,437833.555851559,당구장업,사립,,0.0,0.0,0.0,0.0,,,,세븐당구클럽_경기도시흥시대야동538신생프라자301호
28,당구장업,10_32_01_P,4000000,CDFH3301082015000001,2015-01-28,,3,폐업,3,폐업,2026-02-02,,,,,,447-270,경기도 오산시 양산동 441 후지빌딩 2층,"경기도 오산시 한신대길 124 (양산동, 후지빌딩 2층)",18101,제우스 당구클럽,2026-02-02 16:57:12,U,2026-02-04 02:40:00,,201973.188758181,410446.589768575,당구장업,사립,,0.0,1.0,996.0,0.0,,,,제우스당구클럽_경기도오산시양산동441후지빌딩2층
186,당구장업,10_32_01_P,3550000,CDFH3301082014000011,2014-12-29,,1,영업/정상,13,영업중,,,,,,,,인천광역시 계양구 작전동 651-2 작전빌딩,"인천광역시 계양구 효서로 356, 작전빌딩 3,4층 (작전동)",21127,까치 당구클럽,2026-02-20 08:47:28,U,2026-02-22 02:40:00,,176579.193171104,447309.235472379,당구장업,사립,,0.0,0.0,0.0,0.0,,,,까치당구클럽_인천광역시계양구작전동651-2작전빌딩
133,당구장업,10_32_01_P,4010000,CDFH3301082014000019,2014-11-25,,1,영업/정상,13,영업중,,,,,,,,경기도 시흥시 정왕동 1624-10,"경기도 시흥시 중심상가로 313, 4층 (정왕동)",15062,성진당구클럽,2026-02-11 18:06:11,U,2026-02-13 02:40:00,,177548.110002385,426219.089833971,당구장업,사립,,0.0,0.0,0.0,0.0,,,,성진당구클럽_경기도시흥시정왕동1624-10
187,당구장업,10_32_01_P,3240000,CDFH3301082014000004,2014-06-10,,3,폐업,3,폐업,2026-02-20,,,,,,134-877,서울특별시 강동구 암사동 512-22,서울특별시 강동구 올림픽로 763 (암사동),05242,빅뱅당구장,2026-02-20 13:13:11,U,2026-02-22 02:40:00,,211148.199981362,449679.571982382,당구장업,사립,,0.0,1.0,0.0,0.0,,,,빅뱅당구장_서울특별시강동구암사동512-22
137,당구장업,10_32_01_P,4010000,CDFH3301082014000001,2014-01-03,,1,영업/정상,13,영업중,,,,,,,,경기도 시흥시 대야동 443-3 영재빌딩,"경기도 시흥시 복지로 93, 영재빌딩 5층 (대야동)",14906,스마트 당구장,2026-02-11 18:05:32,U,2026-02-13 02:40:00,,181466.855006238,438397.432912253,당구장업,사립,,0.0,0.0,0.0,0.0,,,,스마트당구장_경기도시흥시대야동443-3영재빌딩
108,당구장업,10_32_01_P,4791000,CDFH3301082013000003,2013-12-05,,1,영업/정상,13,영업중,,,,,,,579-871,전북특별자치도 부안군 보안면 영전리 526-7 2층,전북특별자치도 부안군 보안면 영전길 4-1,56329,기와골당구장,2026-02-09 11:26:37,U,2026-02-11 02:40:00,,169924.630859007,234570.564230084,당구장업,사립,,0.0,0.0,120.0,0.0,,,,기와골당구장_전북특별자치도부안군보안면영전리526-72층
95,당구장업,10_32_01_P,4060000,CDFH3301082013000013,2013-11-22,,1,영업/정상,13,영업중,,,,,,,,경기도 파주시 동패동 1695-4 스타프라자,"경기도 파주시 청석로 266, 스타프라자 401, 402호 (동패동)",10874,스타당구장,2026-02-06 08:59:10,U,2026-02-08 02:40:00,,175045.701838597,469268.993042189,당구장업,사립,,0.0,0.0,0.0,0.0,,,,스타당구장_경기도파주시동패동1695-4스타프라자
226,당구장업,10_32_01_P,3220000,CDFH3301082013000003,2013-04-24,,1,영업/정상,13,영업중,,,,,02-459-3949,,135-516,서울특별시 강남구 일원동 684-3 지하1층,서울특별시 강남구 일원로 41 (일원동),06343,에스엠당구클럽 강남점,2026-02-26 14:54:26,U,2026-02-28 02:40:00,,207129.774602612,443114.830601308,당구장업,사립,,1.0,0.0,0.0,0.0,,,,에스엠당구클럽강남점_서울특별시강남구일원동684-3지하1층
134,당구장업,10_32_01_P,3530000,CDFH3301082013000003,2013-04-02,,1,영업/정상,13,영업중,,,,,,,405-843,인천광역시 남동구 남촌동 309-4 지원빌딩 2층,"인천광역시 남동구 호구포로535번길 34, 2층 (남촌동, 지원빌딩)",21625,SK 당구클럽,2026-02-11 17:14:13,U,2026-02-13 02:40:00,,174816.804645238,436481.012359682,당구장업,사립,,0.0,0.0,0.0,0.0,,,,SK당구클럽_인천광역시남동구남촌동309-4지원빌딩2층
72,당구장업,10_32_01_P,4450000,CDFH3301082011000003,2011-10-06,,1,영업/정상,13,영업중,,,,,043-537-1398,,365-843,충청북도 진천군 덕산읍 용몽리 574-4,충청북도 진천군 덕산읍 초금로 724,,7 당구 CLUB,2026-02-04 17:18:46,U,2026-02-06 02:40:00,,245222.452063173,378754.190368049,당구장업,사립,,0.0,1.0,666.71,0.0,,,,7당구CLUB_충청북도진천군덕산읍용몽리574-4
45,당구장업,10_32_01_P,5710000,CDFH3301082011000028,2011-09-07,,1,영업/정상,13,영업중,,,,,,,361-806,충청북도 청주시 서원구 모충동 101-13 3층호,"충청북도 청주시 서원구 청남로2110번길 3,  3층호 (모충동)",,놀러와 당구장,2026-01-30 15:24:43,U,2026-02-04 11:04:37,,243581.724625905,346723.097856936,당구장업,사립,,0.0,0.0,0.0,0.0,,,,놀러와당구장_충청북도청주시서원구모충동101-133층호
216,당구장업,10_32_01_P,3990000,CDFH3301082011000015,2011-07-11,,1,영업/정상,13,영업중,,,,,,,,경기도 남양주시 진접읍 부평리 600-5,"경기도 남양주시 진접읍 광릉내로 26, 3층",12020,유피(UP) 당구클럽,2026-02-25 17:09:24,U,2026-02-27 02:40:00,,217466.937488435,471115.230596616,당구장업,사립,,0.0,0.0,0.0,0.0,,,,유피(UP)당구클럽_경기도남양주시진접읍부평리600-5
106,당구장업,10_32_01_P,3650000,CDFH3301082011000007,2011-06-24,,1,영업/정상,13,영업중,,,,,042-381-0032,,301-828,대전광역시 중구 오류동 166-7 3층호,"대전광역시 중구 계룡로874번길 87, 3층호 (오류동)",,거상당구장,2026-02-09 16:44:33,U,2026-02-11 02:40:00,,236440.612521681,313544.64076616,당구장업,사립,,0.0,0.0,0.0,0.0,,,,거상당구장_대전광역시중구오류동166-73층호
57,당구장업,10_32_01_P,4840000,CDFH3301082011000006,2011-04-14,,1,영업/정상,13,영업중,,,,,,,,전라남도 광양시 중동 1767-9 2층,"전라남도 광양시 발섬3길 5, 2층 (중동)",57796,OK 당구장,2026-02-03 12:39:59,U,2026-02-06 02:40:00,,263786.36996427,159687.500133059,당구장업,사립,,0.0,1.0,386.02,0.0,,,,OK당구장_전라남도광양시중동1767-92층
209,당구장업,10_32_01_P,4050000,CDFH3301082011000003,2011-01-31,,1,영업/정상,13,영업중,,,,,,,,경기도 용인시 처인구 원삼면 좌항리 412-8 2층,"경기도 용인시 처인구 원삼면 좌찬로 40, 2층",17166,SK당구클럽,2026-02-24 14:28:17,U,2026-02-26 02:40:00,,228740.766400022,411047.188542001,당구장업,사립,,0.0,0.0,0.0,0.0,,,,SK당구클럽_경기도용인시처인구원삼면좌항리412-82층
