번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),업무구분명,상세업무구분명,권리주체일련번호,총직원수,Unnamed: 32,record_key
24,동물미용업,02_03_11_P,5530000,577000004920220021,2022-03-17,,1,영업/정상,0,정상,,,,,031-373-0725,0,,경기도 화성시 동탄구 영천동  ***-*,"경기도 화성시 동탄구 동탄순환대로 ***, ***호 (영천동)",18472,앙볼리펫살롱,2025-04-18 09:20:52,I,2026-02-04 01:35:23,,209537.897068142,411850.34541982,동물미용업,동물미용업(일반),000,0,,앙볼리펫살롱_경기도화성시동탄구영천동***-*
351,동물미용업,02_03_11_P,4020000,402000004920220004,2022-03-14,,3,폐업,2,폐업,2026-02-09,,,,,0,,경기도 군포시 도마교동 ***-*,"경기도 군포시 송부로**번길 **, *층 ***호 (도마교동)",15885,댕댕이샵,2026-02-09 11:03:15,U,2026-02-11 02:40:00,,192810.796184629,423775.531879512,동물미용업,동물미용업(일반),000,0,,댕댕이샵_경기도군포시도마교동***-*
23,동물미용업,02_03_11_P,5530000,577000004920220015,2022-03-02,,1,영업/정상,0,정상,,,,,,0,,경기도 화성시 동탄구 장지동  ***-*,"경기도 화성시 동탄구 동탄장지천*길 **-**, ***호 (장지동)",18508,털빨충전중,2022-04-28 18:09:33,I,2026-02-04 01:35:23,,209301.722571607,406377.613313821,동물미용업,동물미용업(일반),000,0,,털빨충전중_경기도화성시동탄구장지동***-*
21,동물미용업,02_03_11_P,5530000,577000004920220009,2022-02-21,,4,취소/말소/만료/정지/중지,4,말소,2025-09-11,,,,,0,,경기도 화성시 동탄구 장지동  ****-*,"경기도 화성시 동탄구 동탄대로*길 **-**, ***호 (장지동)",18508,까까댕,2025-09-11 16:28:13,I,2026-02-04 01:35:23,,210033.479435548,405969.154280412,동물미용업,동물미용업(일반),000,0,,까까댕_경기도화성시동탄구장지동****-*
121,동물미용업,02_03_11_P,5530000,575000004920220013,2022-02-21,,1,영업/정상,0,정상,,,,,031-225-7925,0,,경기도 화성시 효행구 봉담읍 와우리 ***-*,"경기도 화성시 효행구 봉담읍 와우안길 **, *층",18321,복희쌀롱,2023-03-28 09:26:11,I,2026-02-04 01:35:23,,197666.564559919,412858.80921995,동물미용업,동물미용업(일반),000,0,,복희쌀롱_경기도화성시효행구봉담읍와우리***-*
206,동물미용업,02_03_11_P,5530000,577000004920220008,2022-02-11,,3,폐업,2,폐업,2023-12-29,,,,,0,,경기도 화성시 동탄구 산척동  *** 레이크힐 반도유보라 아이비파크 **.*,"경기도 화성시 동탄구 동탄순환대로**길 **, ****동 ***호 (산척동, 레이크힐 반도유보라 아이비파크 **.*)",18503,들려보개 동탄산척점,2023-12-29 17:21:22,I,2026-02-04 01:35:23,,211415.98697332,407047.896959074,동물미용업,동물미용업(일반),000,0,,들려보개동탄산척점_경기도화성시동탄구산척동***레이크힐반도유보라아이비파크**.*
383,동물미용업,02_03_11_P,4681000,468100004920220005,2022-02-11,,1,영업/정상,0,정상,,,,,063-918-5444,0,,전북특별자치도 익산시 어양동 ***-*,전북특별자치도 익산시 무왕로 ****(어양동),54563,몽슈르,2026-02-12 19:25:49,U,2026-02-14 02:40:00,,198358.955003512,273134.343314918,동물미용업,동물미용업(일반),000,0,,몽슈르_전북특별자치도익산시어양동***-*
205,동물미용업,02_03_11_P,5530000,577000004920220007,2022-01-26,,3,폐업,2,폐업,2024-05-03,,,,031-8003-7535,0,,경기도 화성시 동탄구 반송동  **-* 정일프라자,"경기도 화성시 동탄구 동탄지성로 ***, 정일프라자 ***호 (반송동)",18434,동탄시티동물의료센터(시티Dog애견미용),2024-05-10 14:51:48,I,2026-02-04 01:35:23,,205416.501107917,411942.980332719,동물미용업,동물미용업(일반),000,0,,동탄시티동물의료센터(시티Dog애견미용)_경기도화성시동탄구반송동**-*정일프라자
120,동물미용업,02_03_11_P,5530000,575000004920220006,2022-01-21,,1,영업/정상,0,정상,,,,,,0,,경기도 화성시 효행구 봉담읍 상리 ***-* 리움 ***호,"경기도 화성시 효행구 봉담읍 장등*길 *-**, 리움 ***호",18314,따숩,2022-08-08 14:34:18,I,2026-02-04 01:35:23,,195090.493144055,413397.840200419,동물미용업,동물미용업(일반),000,0,,따숩_경기도화성시효행구봉담읍상리***-*리움***호
204,동물미용업,02_03_11_P,5530000,577000004920220002,2022-01-13,,1,영업/정상,0,정상,,,,,,0,,경기도 화성시 동탄구 영천동  ***-*,"경기도 화성시 동탄구 지산*길 **-*, ***호 (영천동)",18466,펫바스로 동탄,2026-01-27 15:06:28,I,2026-02-04 01:35:23,,209875.781131044,411857.179582745,동물미용업,동물미용업(일반),000,0,,펫바스로동탄_경기도화성시동탄구영천동***-*
