번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),용도지역,건물형태구분명,객실수,주택면적,방면적비율,소화기개수,단독경보형감지기개수,자동확산소화기대수,휴대용비상조명등대수,피난구유도등개수,유도표지개수,완강기대수,가스누설경보기대수,일산화탄소감지기대수,조식제공여부,오수처리시설용량,화장실수,화장실종류명,Unnamed: 46,record_key
540,농어촌민박업,03_11_08_P,6520000,AGCV065200002026000026,2026-02-24,,1,영업/정상,1,정상,,,,,,,699-906,제주특별자치도 서귀포시 성산읍 오조리 61-1,"제주특별자치도 서귀포시 성산읍 오조로 8-12, 나,바동",63639.0,소하풀빌라,2026-02-24 14:38:39,I,2026-02-28 00:20:02,,192037.450172632,-4553.29743643596,,,3,201.6,0.0,8,6,2,6,0,4,0,2,2,,0.0,4,,,소하풀빌라_제주특별자치도서귀포시성산읍오조리61-1
495,농어촌민박업,03_11_08_P,5210000,AGCV052100002026000004,2026-02-24,,1,영업/정상,1,정상,,,,,,1806.0,719-893,경상북도 성주군 수륜면 수성리 522-1,경상북도 성주군 수륜면 수성1길 26-7,40065.0,우디버디,2026-02-24 13:21:57,I,2026-02-26 00:20:08,,,,계획관리지역,,3,228.0,110.27,2,2,0,1,0,1,0,1,0,,0.0,3,,,우디버디_경상북도성주군수륜면수성리522-1
469,농어촌민박업,03_11_08_P,3570000,AGCV035700002026000016,2026-02-23,,1,영업/정상,1,정상,,,,,,682.0,417-863,인천광역시 강화군 화도면 여차리 981-3,인천광역시 강화군 화도면 해안남로 2291-9,23061.0,NARANG STAY,2026-02-23 09:37:25,I,2026-02-25 00:20:01,,,,보전관리지역,,2,163.59,0.0,5,5,2,3,1,0,0,1,2,,8.0,3,,,NARANGSTAY_인천광역시강화군화도면여차리981-3
470,농어촌민박업,03_11_08_P,5020000,AGCV050200002026000013,2026-02-23,,1,영업/정상,1,정상,,,,,,,790-801,경상북도 포항시 남구 구룡포읍 구룡포리 403-8,경상북도 포항시 남구 구룡포읍 구룡포길 126,37933.0,정원집,2026-02-23 09:15:20,I,2026-02-25 00:20:01,,430686.07217023,279808.560543239,준보존지역,,2,0.0,105.24,2,3,1,3,0,1,0,1,1,,0.0,1,,,정원집_경상북도포항시남구구룡포읍구룡포리403-8
490,농어촌민박업,03_11_08_P,6520000,AGCV065200002026000023,2026-02-23,,1,영업/정상,1,정상,,,,,,,699-943,제주특별자치도 서귀포시 남원읍 신례리 980-4,제주특별자치도 서귀포시 남원읍 신례로 272-6,63608.0,신례272,2026-02-24 15:45:20,I,2026-02-26 00:20:08,,165539.876579071,-22972.381703398,,,1,67.75,0.0,4,4,2,4,0,3,0,2,2,,0.0,0,,,신례272_제주특별자치도서귀포시남원읍신례리980-4
493,농어촌민박업,03_11_08_P,4870000,AGCV048700002026000004,2026-02-20,,1,영업/정상,1,정상,,,,,,1498.0,,,전라남도 구례군 구례읍 섬진강로 38,57659.0,나들목,2026-02-20 11:19:26,I,2026-02-26 00:20:08,,241125.645939152,185476.762881932,계획관리지역,,6,196.32,196.32,7,6,1,6,0,6,0,1,1,,0.0,8,,,나들목_
453,농어촌민박업,03_11_08_P,6510000,AGCV065100002026000065,2026-02-20,,1,영업/정상,1,정상,,,,,,,695-974,제주특별자치도 제주시 구좌읍 평대리 3347-3,제주특별자치도 제주시 구좌읍 세평항로 45-11,63360.0,달토끼펜션,2026-02-20 14:14:30,I,2026-02-22 00:20:02,,186339.200892255,3463.7922373615,,,2,79.2,0.0,3,3,3,3,0,3,0,0,0,,0.0,0,,,달토끼펜션_제주특별자치도제주시구좌읍평대리3347-3
467,농어촌민박업,03_11_08_P,4850000,AGCV048500002026000003,2026-02-20,,1,영업/정상,1,정상,,,,,,819.0,517-891,전라남도 담양군 대덕면 갈전리 643-2,전라남도 담양군 대덕면 상갈길 3,57382.0,쉼,2026-02-21 16:02:43,I,2026-02-25 00:20:01,,208490.957761176,188708.783146382,"생산관리지역,배출시설설치제한지역,가축사육제한구역,공장설립승인지역",,2,57.54,57.54,4,4,0,3,0,2,0,0,0,,0.0,2,,,쉼_전라남도담양군대덕면갈전리643-2
492,농어촌민박업,03_11_08_P,4870000,AGCV048700002026000003,2026-02-20,,1,영업/정상,1,정상,,,,,,508.0,,,전라남도 구례군 구례읍 원천길 29-22,57658.0,새콤한 일상,2026-02-20 11:16:53,I,2026-02-26 00:20:08,,242067.228902753,186699.178480572,보전관리지역외 1,,1,56.12,28.0,2,1,1,1,0,1,0,0,1,,0.0,1,,,새콤한일상_
454,농어촌민박업,03_11_08_P,4810000,AGCV048100002026000006,2026-02-20,,1,영업/정상,1,정상,,,,,,776.0,556-814,전라남도 여수시 소라면 복산리 890-2,전라남도 여수시 소라면 대곡해안길 238,59648.0,여수남파랑,2026-02-20 17:49:30,I,2026-02-22 00:20:02,,254003.593078673,139570.767988297,,,2,154.4,0.0,3,7,3,2,3,1,0,1,0,,0.0,0,,,여수남파랑_전라남도여수시소라면복산리890-2
