"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","총층수","주변환경명","제작취급품목내용","시설면적","지상층수","지하층수","건물용도명","통로너비","조명시설조도","노래방실수","청소년실수","비상계단여부","비상구여부","자동환기여부","청소년실여부","특수조명여부","방음시설여부","비디오재생기명","조명시설유무","음향시설여부","편의시설여부","소방시설여부","총게임기수","기존게임업외업종명","제공게임물명","공연장형태구분명","품목명","최초등록시점","지역구분명","기타내역2",
"177","인터넷컴퓨터게임시설제공업","03_05_05_P","4641000","CDFF2241022022000011","2022-07-25","","01","영업/정상","13","영업중","","","","","","","","전북특별자치도 전주시 완산구 중화산동2가 447-36","전북특별자치도 전주시 완산구 중화산로 36, 1층 (중화산동2가)","54980","월드 PC","2026-03-05 11:39:50","U","2026-03-07 02:40:00","","210625.938891943","257055.793574262","인터넷컴퓨터게임시설제공업","유통관련업","0","","","64.8","0","0","","0","0","0","0","","","","","","","","","","","","5","","청소년이용불가","","","","일반주거지역","성인PC방",
"178","인터넷컴퓨터게임시설제공업","03_05_05_P","3930000","CDFF2241022016000015","2016-06-10","","01","영업/정상","13","영업중","","","","","","","","경기도 안산시 단원구 선부동 1070-11 동양빌딩 123호","경기도 안산시 단원구 선부광장1로 10, 동양빌딩 123호 (선부동)","15240","나이스PC","2026-03-05 10:05:59","U","2026-03-07 02:40:00","","182845.149692679","425961.704124988","인터넷컴퓨터게임시설제공업","유통관련업","0","","","42.57","0","0","","0","0","0","0","","","","","","","","","","","","6","","","","","","","성인PC방",
"179","인터넷컴퓨터게임시설제공업","03_05_05_P","5380000","CDFF2241022018000017","2018-10-11","","03","폐업","03","폐업","2026-03-03","","","","","","","경상남도 양산시 물금읍 가촌리 1299-3 증산타워","경상남도 양산시 물금읍 야리1길 17, 증산타워 504호, 505호","50653","플로우PC방","2026-03-04 10:47:51","U","2026-03-07 02:40:00","","382513.845401538","203103.498234909","인터넷컴퓨터게임시설제공업","유통관련업","0","","","235.55","5","0","문화시설","0","0","0","0","","","","","","","","","","","","101","","","","","","근린상업지역","",
"180","인터넷컴퓨터게임시설제공업","03_05_05_P","3640000","CDFF2241022025000001","2025-04-15","","01","영업/정상","13","영업중","","","","","","","","대전광역시 동구 삼성동 305-7 101호","대전광역시 동구 태전로114번길 53, 101호 (삼성동)","34570","더원PC","2026-03-05 14:48:47","U","2026-03-07 02:40:00","","238189.394407531","315523.167357047","인터넷컴퓨터게임시설제공업","유통관련업","0","","성인PC","39.6","0","0","","0","0","0","0","","","","","","","","","","","","7","","청소년이용불가","","","","","",
"181","인터넷컴퓨터게임시설제공업","03_05_05_P","3930000","CDFF2241022025000028","2025-04-18","","01","영업/정상","13","영업중","","","","","","","","경기도 안산시 상록구 본오동 878-8 104호","경기도 안산시 상록구 본삼로 21, 104호 (본오동)","15537","와일드PC","2026-03-05 14:02:37","U","2026-03-07 02:40:00","","187724.061231926","422142.192423107","인터넷컴퓨터게임시설제공업","유통관련업","0","","","31.05","0","0","","0","0","0","0","","","","","","","","","","","","6","","","","","","","",
"182","인터넷컴퓨터게임시설제공업","03_05_05_P","3740000","CDFF2241022025000015","2025-04-25","","03","폐업","03","폐업","2026-03-05","","","","","","","경기도 수원시 권선구 구운동 496","경기도 수원시 권선구 구운중로32번길 2, 1층 (구운동)","16409","도깨비 PC","2026-03-05 17:16:54","U","2026-03-07 02:40:00","","197668.23109718","419511.932091772","인터넷컴퓨터게임시설제공업","유통관련업","0","","","34.03","0","0","","0","0","0","0","","","","","","","","","","","","8","","","","","","","",
"183","인터넷컴퓨터게임시설제공업","03_05_05_P","3930000","CDFF2241022025000021","2025-03-27","","01","영업/정상","13","영업중","","","","","","","","경기도 안산시 상록구 사동 1260-6","경기도 안산시 상록구 이화로 21, 103호 (사동)","15583","대박PC","2026-03-05 15:38:22","U","2026-03-07 02:40:00","","187158.035","421965.65","인터넷컴퓨터게임시설제공업","유통관련업","0","","","55","0","0","","0","0","0","0","","","","","","","","","","","","7","","","","","","","",
"184","인터넷컴퓨터게임시설제공업","03_05_05_P","5350000","CDFF2241022025000010","2025-04-01","","03","폐업","03","폐업","2026-02-01","","","","","","","경상남도 김해시 부원동 171-26 ,103~104호","경상남도 김해시 활천로 1, 103~104호 (부원동)","50924","센세PC","2026-03-04 13:00:28","U","2026-03-07 02:40:00","","372349.690189428","193696.303533033","인터넷컴퓨터게임시설제공업","유통관련업","0","","","74.76","0","0","","0","0","0","0","","","","","","","","","","","","6","","","","","","","성인PC방",
"185","인터넷컴퓨터게임시설제공업","03_05_05_P","4090000","CDFF2241022025000009","2025-05-01","","01","영업/정상","13","영업중","","","","","","","","경기도 김포시 구래동 6883-11 애플상가","경기도 김포시 김포한강9로76번길 21, 애플상가 203호 (구래동)","10071","와라PC","2026-03-05 17:10:16","U","2026-03-07 02:40:00","","166996.441294447","460287.045782366","인터넷컴퓨터게임시설제공업","유통관련업","0","","","99.97","0","0","","0","0","0","0","","","","","","","","","","","","0","","청소년이용불가","","","","","",
"186","인터넷컴퓨터게임시설제공업","03_05_05_P","3930000","CDFF2241022025000032","2025-05-01","","01","영업/정상","13","영업중","","","","","","","","경기도 안산시 상록구 건건동 902-1","경기도 안산시 상록구 건건1길 27, 103호 (건건동)","15521","썸PC","2026-03-05 15:04:52","U","2026-03-07 02:40:00","","191215.810643499","422334.043417986","인터넷컴퓨터게임시설제공업","유통관련업","0","","","47","0","0","","0","0","0","0","","","","","","","","","","","","6","","","","","","","",
"187","인터넷컴퓨터게임시설제공업","03_05_05_P","4400000","CDFF2241022023000015","2023-12-18","","03","폐업","03","폐업","2026-03-04","","","","","","","충청북도 제천시 청전동 697","충청북도 제천시 의림대로33길 35, 1층 (청전동)","27153","에덴PC방","2026-03-05 13:07:44","U","2026-03-07 02:40:00","","307561.947937328","405878.77027208","인터넷컴퓨터게임시설제공업","유통관련업","0","","","170.02","0","0","","0","45","0","0","","","","","","","","","","","","50","","","","","","","성인PC방",
"188","인터넷컴퓨터게임시설제공업","03_05_05_P","3050000","CDFF2241022014000012","2014-09-15","","01","영업/정상","13","영업중","","","","","","","","서울특별시 동대문구 이문동 329-1 민족통일MJ캠퍼스외대 지하1층","서울특별시 동대문구 이문로 93, 지하1층 (이문동, 민족통일MJ캠퍼스외대)","02451","1% PC아레나","2026-03-05 21:02:45","U","2026-03-07 02:40:00","","205162.314842056","454785.731294003","인터넷컴퓨터게임시설제공업","유통관련업","0","","","279.79","0","0","근린생활시설","0","0","0","0","","","","","","","","","","","","110","","","","","","","",
"189","인터넷컴퓨터게임시설제공업","03_05_05_P","3720000","CDFF2241022023000031","2023-09-19","","01","영업/정상","13","영업중","","","","","","","","울산광역시 북구 연암동 314-1 지상1층","울산광역시 북구 화봉로 181, 지상1층 (연암동)","44245","골드PC","2026-03-05 15:50:12","U","2026-03-07 02:40:00","","414527.431354808","233878.390880875","인터넷컴퓨터게임시설제공업","유통관련업","0","","","41.8","0","0","","0","0","0","0","","","","","","","","","","","","6","","","","","","","성인PC방",
"190","인터넷컴퓨터게임시설제공업","03_05_05_P","4400000","CDFF2241022023000013","2023-11-14","","03","폐업","03","폐업","2026-03-04","","","","","","","충청북도 제천시 의림동 8-27","충청북도 제천시 숭문로20길 24 (의림동)","27165","골목PC","2026-03-05 13:07:56","U","2026-03-07 02:40:00","","307577.732076561","405196.424382","인터넷컴퓨터게임시설제공업","유통관련업","0","","","48.34","0","0","","0","0","0","0","","","","","","","","","","","","8","","","","","","","성인PC방",
"191","인터넷컴퓨터게임시설제공업","03_05_05_P","3560000","CDFF2241022024000031","2024-11-27","","01","영업/정상","13","영업중","","","","","","","","인천광역시 서구 석남동 543 101호","인천광역시 서구 면개포로 26-1, 101호 (석남동)","22791","대박PC","2026-03-05 18:20:17","U","2026-03-07 02:40:00","","171025.579518969","444851.932157477","인터넷컴퓨터게임시설제공업","유통관련업","0","","","40.69","0","0","","0","0","0","0","","","","","","","","","","","","7","","청소년이용불가","","","","","",
"192","인터넷컴퓨터게임시설제공업","03_05_05_P","3930000","CDFF2241022025000002","2025-01-17","","01","영업/정상","13","영업중","","","","","","","","경기도 안산시 단원구 고잔동 771-1 창진타운 115호","경기도 안산시 단원구 광덕대로 162, 창진타운 1층 115호 (고잔동)","15470","놀부PC","2026-03-05 17:06:51","U","2026-03-07 02:40:00","","184930.742376598","423232.014470871","인터넷컴퓨터게임시설제공업","유통관련업","0","","","54.41","0","0","","0","0","0","0","","","","","","","","","","","","7","","청소년이용불가","","","","","",
"193","인터넷컴퓨터게임시설제공업","03_05_05_P","3940000","CDFF2241022025000001","2025-01-17","","03","폐업","03","폐업","2026-03-05","","","","","","","경기도 고양시 덕양구 원흥동 628 티오피클래식","경기도 고양시 덕양구 권율대로 668, 티오피클래식 1층 114-1호 (원흥동)","10564","YOU WIN PC","2026-03-05 15:14:01","U","2026-03-07 02:40:00","","188799.571664945","460792.369030036","인터넷컴퓨터게임시설제공업","유통관련업","0","","","22.1","0","0","","0","0","0","0","","","","","","","","","","","","5","","청소년이용불가","","","","","",
