"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","전문인력총수","자본금","시설장비","타기관이전여부",
"19","지하수시공업체","09_29_01_P","5570000","C003012267167000000","2005-03-10","","01","영업/정상","1","영업","","","","","","","","충청북도 증평군 증평읍 초중리 338-6","충청북도 증평군 증평읍 가장골길 16-26","","대성지하수개발","2026-02-03 20:12:51","U","2026-02-06 02:40:00","","251299.908430869","364056.152036403","2","0","","0",
"20","지하수시공업체","09_29_01_P","4301000","C001101118455473L00","2024-12-26","","01","영업/정상","1","영업","","","","","","","","강원특별자치도 철원군 동송읍 이평리 639","강원특별자치도 철원군 동송읍 이평3로 154-30, 사무소 2층 01호","","주식회사 엠포레스트","2026-02-03 11:01:47","U","2026-02-06 02:40:00","","219575.076614838","522849.934317613","2","200000000","","1",
"21","지하수시공업체","09_29_01_P","5690000","C001647110015771L00","2026-02-05","","01","영업/정상","1","영업","","","","","","","","세종특별자치시 보람동 722 스마트허브Ⅰ 802호","세종특별자치시 한누리대로 2150, 스마트허브Ⅰ (보람동)","30151","(주)건안","2026-02-05 09:29:49","I","2026-02-07 00:20:02","","225682.098500873","330873.235668559","2","100000000","천공기(형식 : JD-0380, 등록번호: 충남22고1234)","0",
"22","지하수시공업체","09_29_01_P","4681000","C002112140002644L00","2013-09-04","","01","영업/정상","1","영업","","","","","","","","전북특별자치도 익산시 황등면 황등리 1015-6","전북특별자치도 익산시 서동로 71 (주현동)","54605","(유)연정건설","2026-02-05 09:43:41","U","2026-02-07 02:40:00","","194944.254192229","277919.16161058","2","410000000","시추기(SYL-2001/250mm) 1대 임대","0",
"23","지하수시공업체","09_29_01_P","5110000","C001341110528189L00","2020-02-21","","01","영업/정상","1","영업","","","","","","","","경상북도 상주시 서문동 146-2 2층","","","(주)명작","2026-02-05 18:02:17","U","2026-02-07 02:40:00","","303357.70266968","324509.8907662","2","50000000","","0",
"24","지하수시공업체","09_29_01_P","3210000","C001101117564506L00","2020-08-24","","01","영업/정상","1","영업","","","","","","","","","서울특별시 서초구 매헌로 16, 하이브랜드 1422호 (양재동)","06771","주식회사 세원씨앤이","2026-02-06 17:12:27","I","2026-02-08 00:20:01","","203204.755637424","440136.781183797","0","0","","0",
"25","지하수시공업체","09_29_01_P","5600000","C002844110015675L00","2026-02-05","","01","영업/정상","1","영업","","","","","","","","경기도 포천시 내촌면 음현리 836-1","경기도 포천시 내촌면 금강로 2004, 204호","11192","동민건설 주식회사","2026-02-06 13:19:26","I","2026-02-08 00:20:01","","219417.722941932","472935.2381955","2","50000000","천공기:GG-04957
등록번호:022가2144","0",
"26","지하수시공업체","09_29_01_P","5380000","C002341110104821L00","2019-02-13","","01","영업/정상","1","영업","","","","","","","","경상남도 양산시 남부동 465-8","경상남도 양산시 남부로 12, 3층 (남부동)","","대안지오텍(주)","2026-02-06 17:15:00","U","2026-02-08 02:40:00","","385088.869496033","206196.499503338","2","50000000","- 천공기:NH-2004, 경남22고1334(남호지질 문수성)
 - 공기압축기:XHP1070WCAT, 021가6339(동일건기 여란우)","0",
"27","지하수시공업체","09_29_01_P","4540000","C001647110145092L00","2026-01-09","","01","영업/정상","1","영업","","","","","","","","충청남도 논산시 내동 934","충청남도 논산시 시민로210번길 20, 3층 302호 (내동)","","주식회사 아토엔지니어링","2026-02-06 11:05:38","U","2026-02-08 02:40:00","","208856.531386415","298338.389348031","2","100000000","","0",
"28","지하수시공업체","09_29_01_P","4771000","C002144140005469L00","2014-09-15","","01","영업/정상","1","영업","","","","","","","","","전북특별자치도 순창군 순창읍 순창로 187","","(유)대진건설","2026-02-06 13:40:47","U","2026-02-08 02:40:00","","","","2","200000000","","0",
"29","지하수시공업체","09_29_01_P","3990000","C005003011654255000","2014-03-11","2026-02-06","03","폐업","2","취소정지업체","","","","","","","","경기도 남양주시 평내동 441-33 3통3반","경기도 남양주시 경춘로1229번길 14-1 (평내동)","472-938","대정엔지니어링","2026-02-06 15:01:57","U","2026-02-08 02:40:00","","220415.294214725","460509.634849931","2","256807008","-power4000(천공기)","0",
"30","지하수시공업체","09_29_01_P","4681000","C002149140024922L00","2010-05-20","","01","영업/정상","1","영업","","","","","","","","전북특별자치도 익산시 인화동1가 135-52 202호","전북특별자치도 익산시 평동로 618, 2층 202호 (인화동1가)","54674","(유)연우정","2026-02-07 14:37:12","U","2026-02-09 02:40:00","","195147.287660332","270222.152329568","2","50000000","시추기(SH-1100 / 1100kg, 702L/min) 1대","0",
"31","지하수시공업체","09_29_01_P","5710000","C001601110603947L00","2025-05-02","","01","영업/정상","1","영업","","","","","","","","충청북도 청주시 상당구 용암동 1112","충청북도 청주시 상당구 용암로103번길 4, 1층 101호 (용암동)","28771","주식회사 고도엔지니어링","2026-02-09 09:56:37","I","2026-02-11 00:20:41","","244969.114346837","346266.367268276","2","200000000","","0",
"32","지하수시공업체","09_29_01_P","4040000","C001101111150707L00","2002-12-31","","01","영업/정상","1","영업","","","","","","","","경기도 하남시 덕풍동 762 702호","경기도 하남시 미사대로 550, 현대지식산업센터 한강미사 A동 738호 (덕풍동)","12925","(주)기림지오테크","2026-02-09 13:39:41","U","2026-02-11 02:40:00","","217137.519410187","450158.241480494","4","100000000","","0",
"33","지하수시공업체","09_29_01_P","3740000","C001301110041135L00","1998-02-05","","01","영업/정상","1","영업","","","","","","","","경기도 수원시 권선구 고색동 988-2","경기도 수원시 권선구 서부로 1449-41 (고색동)","","명성엔지니어링(주)","2026-02-09 14:07:29","U","2026-02-11 02:40:00","","198070.44472275","415138.488611302","2","500000000","","0",
"34","지하수시공업체","09_29_01_P","4781000","C002101140146205L00","2020-10-21","","01","영업/정상","1","영업","","","","","","","","전북특별자치도 고창군 고창읍 읍내리 616-34","전북특별자치도 고창군 고수면 문수로 102","","(유)새길건설기술","2026-02-09 10:47:28","U","2026-02-11 02:40:00","","172296.039065257","215074.053085163","2","310000000","","0",
"35","지하수시공업체","09_29_01_P","4570000","C001612110005091L00","1998-02-18","","01","영업/정상","1","영업","","","","","","","","충청남도 부여군 규암면 반산리 286-1","충청남도 부여군 규암면 호수로14번길 17, 1호","","(주)전일","2026-02-09 11:46:53","U","2026-02-11 02:40:00","","187562.198948663","307888.935524975","2","400000000","","0",
"36","지하수시공업체","09_29_01_P","5680000","C001650110061770L00","2018-02-26","","01","영업/정상","1","영업","","","","","","","","충청남도 당진시 채운동 1124","충청남도 당진시 백암로 219-46, 1층 111호 (채운동)","31784","주식회사 현우건설","2026-02-09 15:54:19","U","2026-02-11 02:40:00","","166162.464058086","376704.966105837","2","225000000","천공기
공기압축기","0",
"37","지하수시공업체","09_29_01_P","4201000","C001411110008889L00","2026-02-10","","01","영업/정상","1","영업","","","","","","","","","강원특별자치도 강릉시 남부로17번길 17, 2층 (내곡동)","25604","주식회사태원엔지니어링","2026-02-10 11:20:37","I","2026-02-12 00:20:02","","365795.293523478","472632.643939215","3","150000000","천공기(SP4600) 임대: 경기22고5969
임대기간: 2026.1.2.~2030.12.31.","0",
"38","지하수시공업체","09_29_01_P","5100000","C001748110112865L00","2026-02-10","","01","영업/정상","1","영업","","","","","","","","","경상북도 영천시 오미망정로 87 (야사동)","38832","(주) 정광산업개발","2026-02-10 11:04:45","I","2026-02-12 00:20:02","","","","2","719609540","","0",
"39","지하수시공업체","09_29_01_P","5160000","C006411291769915000","2010-09-14","","01","영업/정상","1","영업","","","","","","","","경상북도 청송군 청송읍 금곡리 841-1","경상북도 청송군 청송읍 금월로 244, 백운장 모텔 1층","","중원건설","2026-02-10 14:37:29","U","2026-02-12 02:40:00","","384306.96975676","327477.363128735","2","30000000","","0",
"40","지하수시공업체","09_29_01_P","4970000","C002001110604459L00","2025-07-29","","01","영업/정상","1","영업","","","","","","","","전라남도 영광군 홍농읍 칠곡리 974","전라남도 영광군 홍농읍 가마미로 137","","(주)바다엔지니어링","2026-02-10 08:18:04","U","2026-02-12 02:40:00","","146325.249415334","209649.058286489","3","100000000","","0",
"41","지하수시공업체","09_29_01_P","4540000","C001601110006092L00","2017-02-17","2026-02-10","03","폐업","2","취소정지업체","","","","","","","","","충청남도 논산시 은진면 탑정로 239","32996","용화건설(주)","2026-02-10 17:19:43","U","2026-02-12 02:40:00","","208167.058636027","296771.441291856","2","900000000","천공기(GS-0129) 1대(임대)
공기압축기(417780UHU456) 1대(임대)","0",
"42","지하수시공업체","09_29_01_P","4830000","C006002012552212000","2026-02-11","","01","영업/정상","1","영업","","","","","","","","전라남도 나주시 산포면 등정리 936-4 203호","전라남도 나주시 산포면 산남로 137, 203호","58212","도원이엔지","2026-02-11 14:12:30","I","2026-02-13 00:20:38","","184230.807293363","171894.135498959","2","31100688","- 천공기(HDJB-0248) 1대(전남22가4872)
- 공기압축기(XRVS487CD) 1대(광주21다5160)","0",
"43","지하수시공업체","09_29_01_P","3940000","C001101111150707L00","2002-12-31","","01","영업/정상","1","영업","","","","","","","","경기도 고양시 덕양구 덕은동 694-1","경기도 고양시 덕양구 청초로 19, 덕은DMC 아이에스비즈타워 센트럴 2차 에이동 1809호 (덕은동)","10542","(주)기림지오테크","2026-02-12 09:29:02","I","2026-02-14 00:20:02","","","","4","200000000","","0",
"44","지하수시공업체","09_29_01_P","4820000","C007311071565623000","2026-02-12","","01","영업/정상","1","영업","","","","","","","","","전라남도 순천시 하인제길 26, 남정건강원 지하1층 에이28호 (남정동)","57959","엔와이개발","2026-02-12 15:26:35","I","2026-02-14 00:20:02","","244739.248346326","160650.177395331","2","30000000","천공기(착정기)HS-0120 (임대,전북 전주시 덕진구 전진로 11, 등록번호 전북22바5172) 1대 및 부대품 일체 (부대품 10함마 2개, 6함마 2개, 6빗트 2개, 착정용 롯트50본 외)","0",
"45","지하수시공업체","09_29_01_P","5600000","C009309131241124000","2026-02-12","","01","영업/정상","1","영업","","","","","","","","경기도 포천시 소흘읍 이가팔리 433-1","경기도 포천시 소흘읍 죽엽산로101번길 8-15","11181","삼성지하수","2026-02-12 15:37:27","I","2026-02-14 00:20:02","","213919.223449066","480030.918106752","2","154000000","SH-1100천공기
022가6160","0",
"46","지하수시공업체","09_29_01_P","4930000","C002014110003085L00","2026-02-12","","01","영업/정상","1","영업","","","","","","","","","전라남도 해남군 해남읍 명량로 2993, 현대중고차매매상사","59023","주식회사 테라코어이엔지","2026-02-12 14:06:51","I","2026-02-14 00:20:02","","161363.180927608","120431.337699394","2","50000000","천공기(광주22다5187
공기압축기(전남21가2891)","0",
"47","지하수시공업체","09_29_01_P","4181000","C001401110005676L00","1998-01-16","2026-02-04","03","폐업","2","취소정지업체","","","","","","","","강원특별자치도 춘천시 중앙로3가 66-14","강원특별자치도 춘천시 중앙로 125 (중앙로3가)","","㈜세신","2026-02-12 11:32:54","U","2026-02-14 02:40:00","","263390.344283278","486177.855056075","2","600000000","","0",
"48","지하수시공업체","09_29_01_P","4600000","C003152072141000000","2024-10-22","","01","영업/정상","1","영업","","","","","","","","","충청남도 홍성군 금마면 충서로 2249-6","","산수엔지니어링","2026-02-12 08:40:05","U","2026-02-14 02:40:00","","","","2","31200000","조성부(660320):기중기운전기능사
민준현(950127):천공기운전기능사","0",
"49","지하수시공업체","09_29_01_P","5160000","C001744110000266L00","2026-02-12","","01","영업/정상","1","영업","","","","","","","","경상북도 청송군 파천면 관리 577-6","경상북도 청송군 파천면 청송로 5529","37416","형제건설㈜","2026-02-12 15:12:00","U","2026-02-14 02:40:00","","382495.346093157","330914.12832326","6","1000000000","천공기","0",
"50","지하수시공업체","09_29_01_P","3910000","C001101111471905L00","2020-02-27","","01","영업/정상","1","영업","","","","","","","","경기도 평택시 평택동 64-5","경기도 평택시 평택로64번길 21-6, 라페온빌2차 3층 304호 (평택동)","","(주)일원지질","2026-02-12 11:01:57","U","2026-02-14 02:40:00","","207599.614191245","388028.442055254","2","200000000","","0",
"51","지하수시공업체","09_29_01_P","4090000","C005502281041816L00","1998-03-05","","01","영업/정상","1","영업","","","","","","","","경기도 김포시 고촌읍 신곡리 469-3 길훈2차 101동 1107호","경기도 김포시 고촌읍 장차로 31, 101동 1107호 (길훈2차)","","태영개발공사","2026-02-12 10:58:42","U","2026-02-14 02:40:00","","179698.620320661","455919.106802466","2","53000000","시추기4대","0",
"52","지하수시공업체","09_29_01_P","5670000","C001101110746078L00","2015-10-22","2026-02-12","03","폐업","2","취소정지업체","","","","","","","","경상남도 창원시 의창구 용호동","경상남도 창원시 의창구 창이대로 510, 403호 (용호동, 경남보훈회관)","","(주)수성엔지니어링","2026-02-12 09:03:04","U","2026-02-14 02:40:00","","","","2","971800000","천공기","0",
"53","지하수시공업체","09_29_01_P","4490000","C001648110152912L00","2022-01-25","","01","영업/정상","1","영업","","","","","","","","충청남도 천안시 서북구 불당동 1485","충청남도 천안시 서북구 번영로 201, 946호 (불당동)","","(주)건하이엔씨","2026-02-12 10:06:39","U","2026-02-14 02:40:00","","209752.648910831","368640.54435489","2","100000000","","0",
"54","지하수시공업체","09_29_01_P","5430000","C001946110005648L00","2021-03-31","","01","영업/정상","1","영업","","","","","","","","경상남도 남해군 남해읍 남변리 369-7","경상남도 남해군 남해읍 화전로 66, 3층","","주식회사 도진이앤씨","2026-02-12 10:53:16","U","2026-02-14 02:40:00","","281741.843905147","149069.511163374","2","100000000","","0",
"55","지하수시공업체","09_29_01_P","4490000","C009601271478810000","2026-02-12","","01","영업/정상","1","영업","","","","","","","","충청남도 천안시 동남구 청당동 1012 천안 롯데캐슬 더 청당 110동 705호","충청남도 천안시 동남구 청당4로 20, 110동 705호 (청당동, 천안 롯데캐슬 더 청당)","31211","현대지하수개발","2026-02-13 09:25:19","I","2026-02-15 00:20:02","","","","2","33933568","천공기(LJH - 0634)","0",
"56","지하수시공업체","09_29_01_P","3600000","C002001110566146L00","2023-04-11","","01","영업/정상","1","영업","","","","","","","","","광주광역시 서구 매월2로 53, 광주산업용재유통센터 8동 2층 17호 (매월동)","","대남토건주식회사","2026-02-13 13:35:51","U","2026-02-15 02:40:00","","","","6","300000000","","0",
"57","지하수시공업체","09_29_01_P","5380000","C007702121124113000","2008-11-13","2026-02-13","03","폐업","2","취소정지업체","","","","","","","","경상남도 양산시 덕계동 811-45   대승@상가 204호","","","강산개발","2026-02-13 16:00:32","U","2026-02-15 02:40:00","","","","2","50000000","시추기 T-4형
로드 114m/m
감속기(수중폄프인양용)
공기압축기(임대)","0",
"58","지하수시공업체","09_29_01_P","4550000","C001101112205494L00","2001-07-06","","01","영업/정상","1","영업","","","","","","","","충청남도 금산군 금성면 하류리 371","","","㈜성지지반기술","2026-02-13 09:11:49","U","2026-02-15 02:40:00","","242626.263576512","292869.739415856","2","500000000","","0",
