번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),업종구분명,자본금의규모,사업자등록번호,Unnamed: 31,record_key
32,후원방문판매업체,08_26_05_P,6110000,20216110000301000650,2021-12-20,,3,폐업,4,폐업,2026-03-03,,,,,,5210.0,서울특별시 강동구 강일동  ***번지 *호 강일리버파크*단지아파트,"서울특별시 강동구 아리수로**길 **, ***동 ***호(강일동, 강일리버파크*단지아파트)",,인셀덤 Gold Line(골드라인),2026-03-03 00:00:00,U,2026-03-05 02:40:00,,215366.063352066,451618.231227225,후원방문판매업,0,,,인셀덤GoldLine(골드라인)_서울특별시강동구강일동***번지*호강일리버파크*단지아파트
38,후원방문판매업체,08_26_05_P,6110000,20216110000301000621,2021-12-14,,3,폐업,4,폐업,2026-03-03,,,,,,8289.0,서울특별시 구로구 구로동  **번지 *호 신도림포스빌,"서울특별시 구로구 새말로 ***, 신도림포스빌 ***호(구로동)",,라헨느 인셀덤 7호점,2026-03-03 00:00:00,U,2026-03-05 02:40:00,,190349.885855531,444836.673561831,후원방문판매업,0,,,라헨느인셀덤7호점_서울특별시구로구구로동**번지*호신도림포스빌
58,후원방문판매업체,08_26_05_P,6110000,20216110000301000616,2021-12-10,,3,폐업,4,폐업,2026-03-03,,,,25011078.0,,6212.0,서울특별시 강남구 역삼동  ***번지 *호 동우빌딩,"서울특별시 강남구 테헤란로 ***, 동우빌딩 **층(역삼동)",,(주)파이진글로벌,2026-03-03 00:00:00,U,2026-03-05 02:40:00,,204130.823745399,444612.149927522,후원방문판매업,0,,,(주)파이진글로벌_서울특별시강남구역삼동***번지*호동우빌딩
245,후원방문판매업체,08_26_05_P,6410000,20216410000301101120,2021-11-30,,3,폐업,4,폐업,2026-03-03,,,,,,11752.0,경기도 의정부시 금오동  ***번지 *호 현대아이파크아파트 ***동 ***호,"경기도 의정부시 부용로 **, ***동 ***호(금오동, 현대아이파크아파트)",,백만불인셀덤대리점,2026-03-04 00:00:00,U,2026-03-06 02:40:00,,205823.617028824,472132.303293049,후원방문판매업,0,3383000917.0,,백만불인셀덤대리점_경기도의정부시금오동***번지*호현대아이파크아파트***동***호
56,후원방문판매업체,08_26_05_P,6110000,20216110000301000612,2021-11-22,,3,폐업,4,폐업,2026-03-03,,,,,,5658.0,서울특별시 송파구 오금동  **번지 *호 현대아파트,"서울특별시 송파구 오금로**길 **, **동 ****호(오금동, 현대아파트)",,정현인셀덤,2026-03-03 00:00:00,U,2026-03-05 02:40:00,,211144.632069249,444932.833553441,후원방문판매업,0,,,정현인셀덤_서울특별시송파구오금동**번지*호현대아파트
55,후원방문판매업체,08_26_05_P,6110000,20216110000301000608,2021-11-22,,3,폐업,4,폐업,2026-03-03,,,,,,1141.0,서울특별시 강북구 미아동  ***번지 ***호 한일아파트,"서울특별시 강북구 오패산로**길 **, *동 ***호(미아동, 한일아파트)",,인셀덤 Joyful 53호점,2026-03-03 00:00:00,U,2026-03-05 02:40:00,,202668.623563972,458252.454572419,후원방문판매업,0,,,인셀덤Joyful53호점_서울특별시강북구미아동***번지***호한일아파트
54,후원방문판매업체,08_26_05_P,6110000,20216110000301000602,2021-11-22,,3,폐업,4,폐업,2026-03-03,,,,,,2617.0,서울특별시 동대문구 답십리동  **번지 ***호 정민빌딩,"서울특별시 동대문구 한천로 **, 정민빌딩 가동(답십리동)",,인셀덤 파주운정,2026-03-03 00:00:00,U,2026-03-05 02:40:00,,205348.12321352,451557.754283844,후원방문판매업,0,,,인셀덤파주운정_서울특별시동대문구답십리동**번지***호정민빌딩
53,후원방문판매업체,08_26_05_P,6110000,20216110000301000590,2021-11-18,,3,폐업,4,폐업,2026-03-03,,,,,,14999.0,경기도 시흥시 군자동  ***번지 **호 시흥장현금강펜테리움센트럴파크,"경기도 시흥시 장현천로 ***, ***동 ****호(군자동, 시흥 장현 금강펜테리움 센트럴파크)",,오예뷰티 인셀덤,2026-03-03 00:00:00,U,2026-03-05 02:40:00,,182657.266835109,429496.446102074,후원방문판매업,0,,,오예뷰티인셀덤_경기도시흥시군자동***번지**호시흥장현금강펜테리움센트럴파크
52,후원방문판매업체,08_26_05_P,6110000,20216110000301000584,2021-11-18,,3,폐업,4,폐업,2026-03-03,,,,,,7517.0,서울특별시 강서구 방화동  ***번지 *호 동부센트레빌아파트,"서울특별시 강서구 방화대로**길 **, ***동 ****호(방화동, 동부센트레빌아파트)",,인셀덤 뉴스,2026-03-03 00:00:00,U,2026-03-05 02:40:00,,183585.729347519,452506.328501406,후원방문판매업,0,,,인셀덤뉴스_서울특별시강서구방화동***번지*호동부센트레빌아파트
61,후원방문판매업체,08_26_05_P,6110000,20216110000301000561,2021-11-16,,3,폐업,4,폐업,2026-03-03,,,,,,7957.0,서울특별시 양천구 목동  ***번지 *호 골드빌,"서울특별시 양천구 목동중앙남로**길 **, ***호(목동, 골드빌)",,인셀덤 킹(KING),2026-03-03 00:00:00,U,2026-03-05 02:40:00,,187979.814852501,448669.482899014,후원방문판매업,0,,,인셀덤킹(KING)_서울특별시양천구목동***번지*호골드빌
