"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","축산업무구분명","축산물가공업구분명","축산일련번호","권리주체일련번호","총직원수",
"1","가축인공수정소","02_04_02_P","5360000","536000000320260002","2026-03-03","","01","영업/정상","0000","정상","","","","","","0","","경상남도 밀양시 무안면 판곡리 479-20","경상남도 밀양시 무안면 판정로 96-62","50405","새중앙가축인공수정소","2026-03-03 14:27:05","I","2026-03-05 00:20:02","","350719.610932125","223070.499703383","가축인공수정소","","0","000","0",
"2","가축인공수정소","02_04_02_P","4751000","475100000320260002","2026-03-03","","01","영업/정상","0000","정상","","","","","","0","","전북특별자치도 장수군 천천면 오봉리 산 187-5","전북특별자치도 장수군 천천면 천천북로 449-42","55605","이관수거점가축인공수정소","2026-03-03 09:54:52","I","2026-03-05 00:20:02","","249001.45011297","254282.409226677","가축인공수정소","","0","000","0",
"3","가축인공수정소","02_04_02_P","4251000","425100000320250001","2025-05-02","","03","폐업","0002","폐업","2026-03-05","","","","","99.73","","강원특별자치도 홍천군 남면 시동리 411-6","강원특별자치도 홍천군 남면 시동로 764-69","25109","신흥가축인공수정소","2026-03-05 15:08:05","U","2026-03-07 02:40:00","","274359.138517798","453921.020706048","가축인공수정소","","0","000","0",
"4","가축인공수정소","02_04_02_P","4721000","472100000320250001","2025-12-24","","01","영업/정상","0000","정상","","","","","","24","","전북특별자치도 완주군 삼례읍 신금리 798-1 1층 백두산자원 내측","전북특별자치도 완주군 삼례읍 삼봉로 157, 1층 백두산자원 내측","55333","다산가축인공수정소","2026-03-04 16:57:31","U","2026-03-07 02:40:00","","207035.223849067","268621.924013176","가축인공수정소","","0","000","0",
