번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),법인구분명,구분명,Unnamed: 30,record_key
35,유료직업소개소,11_50_02_P,3160000,2025316016014500012,2024-05-07,,1,영업/정상,20,영업중,,,,,,,,서울특별시 구로구 구로동 606-1 구로기계공구상가 35동 306호,"서울특별시 구로구 구로중앙로 198, 구로기계공구상가 35동 306호 (구로동)",08212,정다운 직업소개소,2026-03-03 18:50:00,U,2026-03-05 02:40:00,,189133.785005948,444562.755976432,개인,유료,,정다운직업소개소_서울특별시구로구구로동606-1구로기계공구상가35동306호
21,유료직업소개소,11_50_02_P,5100000,2024510023714500005,2024-03-29,,1,영업/정상,20,영업중,,,,,,,,경상북도 영천시 신녕면 완전리 605-13,경상북도 영천시 신녕면 장수로 1589,38803,한들인력,2026-03-03 14:26:05,U,2026-03-05 02:40:00,,361368.576485883,283044.745296012,개인,유료,,한들인력_경상북도영천시신녕면완전리605-13
75,유료직업소개소,11_50_02_P,3080000,2024308021114500003,2024-03-28,,1,영업/정상,20,영업중,,,,,,,,서울특별시 강북구 수유동 90-14 동경빌딩,"서울특별시 강북구 도봉로77길 15, 동경빌딩 3층 (수유동)",01114,원투건설인력,2026-03-04 09:46:38,U,2026-03-06 02:40:00,,201904.809234977,459018.872599739,개인,유료,,원투건설인력_서울특별시강북구수유동90-14동경빌딩
119,유료직업소개소,11_50_02_P,6510000,2026651024514500004,2024-03-13,,1,영업/정상,20,영업중,,,,,,,,제주특별자치도 서귀포시 대정읍 하모리 818-3 뷰티헤어클럽,"제주특별자치도 서귀포시 대정읍 상모로290번길 29, 뷰티헤어클럽",63510,후대인력,2026-03-05 10:48:45,I,2026-03-07 00:20:02,,130501.93983187,-30012.7961904876,,,,후대인력_제주특별자치도서귀포시대정읍하모리818-3뷰티헤어클럽
85,유료직업소개소,11_50_02_P,3170000,2024317024914500007,2024-03-11,,1,영업/정상,20,영업중,,,,,,,,서울특별시 금천구 가산동 550-1 IT캐슬 2동 209호,"서울특별시 금천구 가산디지털2로 98, IT캐슬 2동 209호 (가산동)",08506,커리어위즈,2026-03-04 13:55:21,U,2026-03-06 02:40:00,,189369.53962474,441629.361414684,개인,유료,,커리어위즈_서울특별시금천구가산동550-1IT캐슬2동209호
28,유료직업소개소,11_50_02_P,3060000,2024306020214500005,2024-03-06,,1,영업/정상,20,영업중,,,,,,,,서울특별시 중랑구 망우동 146-50,"서울특별시 중랑구 용마산로118길 91, 2층 (망우동)",02066,온누리인력,2026-03-03 17:56:04,U,2026-03-05 02:40:00,,209260.890538195,455453.44462286,개인,유료,,온누리인력_서울특별시중랑구망우동146-50
86,유료직업소개소,11_50_02_P,3980000,2024398012914500002,2024-03-05,,1,영업/정상,20,영업중,,,,,,,,경기도 구리시 토평동 964 메인프라자,"경기도 구리시 벌말로129번길 92, 메인프라자 1층 104호 (토평동)",11946,스마일인력,2026-03-04 13:39:36,U,2026-03-06 02:40:00,,212719.111118726,454271.193410726,개인,유료,,스마일인력_경기도구리시토평동964메인프라자
140,유료직업소개소,11_50_02_P,4520000,2024452038514500003,2024-02-14,,1,영업/정상,20,영업중,,,,,,,,충청남도 아산시 탕정면 호산리 471-1 태화오피스텔 301호,"충청남도 아산시 탕정면 탕정면로 223, 태화오피스텔 301호",31457,베스트간병협회,2026-03-05 18:00:13,U,2026-03-07 02:40:00,,206679.64848569,367527.477828657,개인,유료,,베스트간병협회_충청남도아산시탕정면호산리471-1태화오피스텔301호
43,유료직업소개소,11_50_02_P,5530000,2024553047914500002,2024-02-07,,3,폐업,40,폐업,2026-03-03,,,,031 366 4910,,,경기도 화성시 만세구 향남읍 발안리 123-2,경기도 화성시 만세구 향남읍 발안남로55번길 1,18594,고릴라1978,2026-03-03 13:56:29,U,2026-03-05 02:40:00,,191403.054887204,403242.735204864,개인,유료,,고릴라1978_경기도화성시만세구향남읍발안리123-2
4,유료직업소개소,11_50_02_P,4281000,2024428102414500001,2024-01-09,,1,영업/정상,20,영업중,,,,,,,,강원특별자치도 평창군 봉평면 원길리 251-12,강원특별자치도 평창군 봉평면 보래령로 38,25302,용평우수인력,2026-03-03 10:41:20,I,2026-03-05 00:20:02,,,,개인,유료,,용평우수인력_강원특별자치도평창군봉평면원길리251-12
