사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,지정일자,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,약국영업면적,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
삼성바른약국,2026-04-09,200725.662254155,451464.620251226,2026-04-10 03:03:03,U,2025-02-12,03,폐업,2026-04-09 11:34:38,,2025-02-12,,서울특별시 중구 을지로7가 58-2,PHMD120253010033084000002,3010000,37,"서울특별시 중구 을지로 280-1, 1층 (을지로7가)",04565,03,폐업,,,02-2268-5827
소원약국,,202190.312961142,458278.675494656,2026-04-10 03:03:03,U,2023-12-28,13,영업중,2026-04-09 10:13:29,,2023-12-28,,서울특별시 강북구 미아동 209-1,PHMD120233080033084000007,3080000,53,서울특별시 강북구 도봉로 205 (미아동),01126,01,영업/정상,,,
