사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,DTL_TASK_SE_NM,최종수정시점,인허가취소일자,인허가일자,소재지면적,소재지우편번호,지번주소,관리번호,개방자치단체코드,권리주체일련번호,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
서울숲 dogs,2025-12-15,203934.499467547,449210.380042967,2026-05-01 22:41:33,I,0002,폐업,,2025-12-16 09:07:33,,2020-04-17,0,,서울특별시 성동구 성수동*가 ***-* 프렌치모터스(주),303000004820200008,3030000,000,"서울특별시 성동구 왕십리로 **, *층 *호 (성수동*가)",04778,,03,폐업,,,02-468-3694
펫살롱,2025-12-26,202113.869605464,451897.581865192,2026-05-01 22:41:33,I,0002,폐업,,2025-12-26 16:17:48,,2021-03-23,0,,서울특별시 성동구 상왕십리동 *** 텐즈힐 ***호,303000004820210006,3030000,000,"서울특별시 성동구 마장로 ***, ***호 (상왕십리동, 텐즈힐)",04700,,03,폐업,,,
한양동물메디컬센터,,203200.771278441,450821.216569269,2026-05-01 22:41:32,I,0000,정상,,2022-04-28 18:10:55,,2018-08-22,0,,서울특별시 성동구 행당동 ***-* 중국한의원,303000004820180012,3030000,000,"서울특별시 성동구 왕십리로 ***, 중국한의원 (행당동)",04751,,01,영업/정상,,,
위대한캣츠빌,,204964.369856868,448289.619828585,2026-05-01 22:41:32,I,0000,정상,,2022-04-28 18:10:56,,2018-09-14,0,,서울특별시 성동구 성수동*가 ***-* 사랑어린이집,303000004820180030,3030000,000,"서울특별시 성동구 성덕정길 ***, 사랑어린이집 (성수동*가)",04776,,01,영업/정상,,,02-464-6268
금호동물병원,,202098.97937718,449891.972244601,2026-05-01 22:41:32,I,0000,정상,,2022-04-28 18:10:56,,2018-09-14,0,,서울특별시 성동구 금호동*가 **** 래미안하이리버 상가동,303000004820180035,3030000,000,"서울특별시 성동구 금호로 ***, 래미안하이리버 상가동 ***호 (금호동*가)",04728,,01,영업/정상,,,
Show Dog,,202832.840843398,450858.22745187,2026-05-01 22:41:33,I,0000,정상,,2022-04-28 18:10:56,,2018-10-01,0,,서울특별시 성동구 행당동 ***-**,303000004820180047,3030000,000,"서울특별시 성동구 무학봉**길 **, *층 (행당동)",04714,,01,영업/정상,,,
이윤세동물병원,,202511.142930696,450401.303715561,2026-05-01 22:41:33,I,0000,정상,,2022-04-28 18:10:56,,2018-10-01,0,,서울특별시 성동구 행당동 *** 한진노변상가,303000004820180049,3030000,000,"서울특별시 성동구 행당로 **, 한진노변상가 (행당동)",04717,,01,영업/정상,,,
왕십리조은동물병원,,202393.457305335,451365.326207693,2026-05-01 22:41:33,I,0000,정상,,2022-04-28 18:10:56,,2018-10-01,0,,서울특별시 성동구 하왕십리동 ***-*,303000004820180053,3030000,000,"서울특별시 성동구 왕십리로 ***, *층 (하왕십리동)",04710,,01,영업/정상,,,
모동모동,,203911.513091074,448508.756036449,2026-05-01 22:41:33,I,0000,정상,,2025-12-31 15:38:05,,2018-10-04,0,,서울특별시 성동구 성수동*가 *** 트리마제,303000004820180055,3030000,000,"서울특별시 성동구 왕십리로 **, ***호 (성수동*가, 트리마제)",04773,,01,영업/정상,,,02-3409-9225
오렌지동물병원,,202931.789940848,450419.387012901,2026-05-01 22:41:33,I,0000,정상,,2022-04-28 18:10:56,,2018-10-10,0,,서울특별시 성동구 행당동 ***-***,303000004820180061,3030000,000,서울특별시 성동구 행당로*길 **-* (행당동),04716,,01,영업/정상,,,02-2297-7582
