건축연면적,건물용도명,사업장명,회의실별동시수용인원,폐업일자,자본금,좌표X,좌표Y,문화사업자구분명,문화체육업종명,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,영문상호주소,영문상호명,제작취급품목내용,시설면적,시설규모,지상층수,객실수,보험시작일자,보험종료일자,보험기관명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,지역구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,좌석수,무대면적,주변환경명,기념품종류,휴업시작일자,휴업종료일자,소재지전화번호,총층수,지하층수,선박척수,선박제원,선박총톤수
,,주식회사 시공테크,,,10023985000,202900.590297224,444136.728684457,,국제회의기획업,2026-04-15 22:07:25,I,13,영업중,,,,,,,,,,,2026-04-14 14:25:35,,2025-03-27,,서울특별시 강남구 역삼동 735-3 포스코타워 역삼,CDFI2263102026000006,3220000,,"서울특별시 강남구 테헤란로 134, 포스코타워 역삼 4층, 14층 (역삼동)",06235,01,영업/정상,,,,,,,,,,,,
,,주식회사 이음,,,50000000,204933.063038691,421498.176715902,,국제회의기획업,2026-04-15 21:37:27,I,13,영업중,,,,,,,,,,,2026-04-14 14:15:20,,2026-04-14,,경기도 수원시 영통구 이의동 1295-2,CDFI2263102026000001,3740000,,"경기도 수원시 영통구 센트럴파크로128번길 7, 비02호 (이의동)",16504,01,영업/정상,,,,,,,031-895-5556,,,,,
