영업장주변구분명,건물소유구분명,사업장명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,시설총규모,공장사무직직원수,공장생산직직원수,공장판매직직원수,여성종사자수,등급구분명,보증액,본사직원수,홈페이지,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,월세액,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,전통업소지정번호,전통업소주된음식,급수시설구분명
주택가주변,,팡팡라이브주점,단란주점,,206794.582323814,457374.659609172,2026-04-17 03:03:03,U,01,영업,109.25,,,,0,갑,,,,2026-04-16 13:52:58,1993-11-08,109.25,139-808,서울특별시 노원구 공릉동 661-6 홍산부인과,N,0,3100000-103-1993-04981,,3100000,"서울특별시 노원구 화랑로 455, 홍산부인과 지층 (공릉동)",01849,01,영업/정상,단란주점,02-976-7076,,,상수도전용
유흥업소밀집지역,,7080콘서트,단란주점,,174022.953794842,440321.610501568,2026-04-17 03:03:03,U,01,영업,86.4,,,,,,,,,2026-04-16 10:58:58,2022-12-13,86.40,405-807,인천광역시 남동구 간석동 314-1 1층 101호,Y,,3530000-103-2022-00003,,3530000,"인천광역시 남동구 남동대로921번길 15, 1층 101호 (간석동)",21550,01,영업/정상,단란주점,,,,상수도전용
유흥업소밀집지역,,별밤축제7080라이브주점,단란주점,,209897.316482179,388027.862923999,2026-04-17 03:03:03,U,01,영업,146.89,,,,,,,,,2026-04-16 13:42:42,2016-02-17,146.89,450-810,경기도 평택시 비전동 834,Y,,3910000-103-2016-00001,,3910000,"경기도 평택시 평택5로 88, 3층 (비전동)",17885,01,영업/정상,단란주점,,,,상수도전용
학교정화(절대),,수지라이브,단란주점,,208486.340048612,424716.300761604,2026-04-17 03:03:03,U,01,영업,134.96,,,,,자율,,,,2026-04-16 10:32:17,2009-06-03,134.96,448-553,경기도 용인시 수지구 풍덕천동 710-4 지하1층,Y,,5640000-103-2009-00001,,4050000,"경기도 용인시 수지구 풍덕천로139번길 8 (풍덕천동,지하1층)",16837,01,영업/정상,단란주점,031-274-1143,,,상수도전용
