침대수,건물지상층수,건물소유구분명,건물지하층수,사업장명,업태구분명,의자수,폐업일자,조건부허가시작일자,조건부허가신고사유,조건부허가종료일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,여성종사자수,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,사용시작지상층,사용시작지하층,사용끝지상층,사용끝지하층
0,0,,0,다온헤어(DAON HAIR),일반미용업,6,,,,,191601.679739953,438973.933342817,2026-05-16 03:03:03,U,01,영업,0,2026-05-15 09:52:42,2024-05-03,62.00,153-856,서울특별시 금천구 시흥동 838-28,N,0,3170000-213-2024-00003,3170000,"서울특별시 금천구 독산로 61, 103호 (시흥동)",08627,01,영업/정상,종합미용업,,,,,
2,0,,0,마젠타 뷰티,메이크업업,2,2026-05-15,,,,209906.842029799,444565.624094215,2026-05-16 03:03:03,U,02,폐업,0,2026-05-15 14:09:03,2022-11-16,26.44,138-850,서울특별시 송파구 송파동 106-15 영진빌딩,N,0,3230000-213-2022-00060,3230000,"서울특별시 송파구 가락로 155, 영진빌딩 3층 303호 (송파동)",05669,03,폐업,종합미용업,,,,,
,5,자가,1,헤어가든(Hair Garden),일반미용업,3,,,,,218561.954827169,464142.911016857,2026-05-16 03:03:03,U,01,영업,,2026-05-15 16:26:50,2003-02-25,160.00,472-883,경기도 남양주시 오남읍 오남리 412-2 주1동 1층 일부,N,,3990000-204-2003-00103,3990000,"경기도 남양주시 오남읍 진건오남로522번길 16, 주1동 1층 일부",12039,01,영업/정상,미용업,,,1,,1
1,0,임대,0,& 네일,네일아트업,2,,,,,207677.528233299,448868.685214565,2026-05-16 03:03:03,U,01,영업,1,2026-05-15 11:09:48,2017-10-24,55.00,143-824,서울특별시 광진구 구의동 239-97 오로시 하우스 (orosi haus),N,0,3040000-218-2017-00007,3040000,"서울특별시 광진구 광나루로38길 65-5, 1층 (구의동, 오로시 하우스 (orosi haus))",05037,01,영업/정상,"피부미용업, 네일미용업",,1,,1,
2,0,,0,뷰티나라,피부미용업,2,,,,,,,2026-05-16 03:03:03,U,01,영업,0,2026-05-15 13:47:05,2025-06-16,31.50,152-090,서울특별시 구로구 개봉동 503 세이지움 개봉,N,0,3160000-218-2025-00004,3160000,"서울특별시 구로구 개봉로19길 11, 1층 102호 (개봉동, 세이지움 개봉)",08337,01,영업/정상,"피부미용업, 네일미용업",,0,0,0,0
6,0,임대,0,이시아 에스테틱,피부미용업,5,,,,,187380.144578474,443688.520117425,2026-05-16 03:03:03,U,01,영업,,2026-05-15 14:10:02,2011-09-28,127.45,152-806,서울특별시 구로구 개봉동 171-15 금정빌딩,N,,3160000-212-2011-00021,3160000,"서울특별시 구로구 개봉로23가길 31, 금정빌딩 7층 (개봉동)",08277,01,영업/정상,피부미용업,02-6678-8730,0,1,0,1
0,0,,0,온리헤어,일반미용업,2,,,,,193665.166393669,429130.95759729,2026-05-16 03:03:03,U,01,영업,,2026-05-15 15:12:07,2020-01-15,48.07,435-803,경기도 군포시 산본동 1121 산본 이편한세상 센트럴파크,N,,4020000-211-2020-00003,4020000,"경기도 군포시 고산로 596-15, 1031동 207호 (산본동, 산본 이편한세상 센트럴파크)",15824,01,영업/정상,일반미용업,,5,0,5,0
