사업장명,사업장부지용도구분명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가일자,소재지면적,지번주소,제조구분명,관리번호,개방자치단체코드,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자
에코심플렉스 주식회사,지정되지않음,제조,,184841.846415698,452316.417141747,2026-04-08 03:03:03,U,01,영업중,2026-04-07 16:39:25,2021-09-07,,서울특별시 강서구 마곡동 61-1 수소충전소,충전,2021315020402100001,3150000,"서울특별시 강서구 양천로 225, 수소충전소 (마곡동)",07520,2025-10-28,01,영업/정상,,
홈플러스(주) 신도림점,,제조,,190005.132500398,445250.538868558,2026-04-08 03:03:03,U,01,영업중,2026-04-07 17:37:39,2007-09-11,0,서울특별시 구로구 신도림동 337,냉동,2007316011702100001,3160000,서울특별시 구로구 경인로 661 (신도림동),,,01,영업/정상,,
인천가좌 액화수소 자동차 충전소,공업용,제조,,169040.822210665,443356.012018342,2026-04-08 03:03:03,U,01,영업중,2026-04-07 14:12:23,2023-08-31,5521,인천광역시 서구 가좌동 178-131,충전,2023356025902100001,3560000,인천광역시 서구 보도진로30번길 26 (가좌동),22847,,01,영업/정상,,
씨제이제일제당(주) 인천2공장,,제조,,166767.508712755,437648.939305631,2026-04-08 03:03:03,U,01,영업중,2026-04-07 15:32:34,2011-12-05,,인천광역시 중구 신흥동3가 64,냉동,2011349007502210274,3490000,"인천광역시 중구 서해대로140번길 49, CJ제일제당(주) (신흥동3가)",22341,,01,영업/정상,,
