자동확산소화기대수,건물형태구분명,사업장명,조식제공여부,일산화탄소감지기대수,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,완강기대수,상세영업상태코드,상세영업상태명,피난구유도등개수,유도표지개수,소화기개수,가스누설경보기대수,객실수,주택면적,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,관리번호,개방자치단체코드,휴대용비상조명등대수,방면적비율,도로명주소,도로명우편번호,화장실수,화장실종류명,영업상태구분코드,영업상태명,단독경보형감지기개수,휴업시작일자,휴업종료일자,소재지전화번호,용도지역,오수처리시설용량
1,,뜰하우스,,1,2026-04-06,174079.534422405,474932.279648634,2026-04-08 03:03:03,U,0,3,폐업,0,1,2,1,2,211.93,2026-04-07 08:59:44,2021-06-22,211.93,413-841,경기도 파주시 탄현면 법흥리 497-114 바늘이야기,AGCV040600002021000009,4060000,3,212,"경기도 파주시 탄현면 법흥로 100-1, 바늘이야기",10861,2,,03,폐업,3,,,,계획관리지역,
0,,casa de 215,,1,,,,2026-04-08 03:03:03,U,0,1,정상,0,0,3,1,,132.6,2026-04-07 15:54:09,2023-02-15,331,,,AGCV040700002023000001,4070000,2,,경기도 이천시 호법면 관진로 32,17396,,,01,영업/정상,5,,,,계획관리지역,
2,,노팅힐,,1,2026-02-14,239187.910925497,444600.251890993,2026-04-08 03:03:03,U,0,3,폐업,1,0,3,0,1,92.4,2026-04-07 16:00:22,2022-10-27,342,,,AGCV041700002022000041,4170000,1,92,경기도 양평군 강하면 강남로 528-23,12575,2,,03,폐업,2,,,,계획관리지역 외4,2
0,,동강솔펜션,,0,2026-04-07,333624.795448173,412358.640046425,2026-04-08 03:03:03,U,0,3,폐업,0,0,2,0,2,85.3,2026-04-07 14:31:12,2014-04-18,180.4,,강원특별자치도 영월군 영월읍 삼옥리 1577번지 7호 동강솔펜션,AGCV042710002019000015,4271000,0,,"강원특별자치도 영월군 영월읍 동강로 261, 동강솔펜션",26223,,,03,폐업,4,,,,보전관리,
